Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
958,1673574955183,13/01/2023 01:55:55,1673574957317,-6,12/01/2023 19:55:57,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,143,191,2,Screen 1,Zone3,response_button_text,1207.1000000014901,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj29_m_toco_135.wav,Babble_112.wav,o,1,,5-A,noise,subj29,m,toco,135
959,1673574955529,13/01/2023 01:55:55,1673574957664,-6,12/01/2023 19:55:57,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,168,192,1,Screen 2,fixation,fixation,350.0370000000112,,,,,0,1,0,,,,,1,Trial (Noise),u_subj67_m_pura_288.wav,Babble_153.wav,u,1,,5-A,noise,subj67,m,pura,288
960,1673574955661,13/01/2023 01:55:55,1673574957678,-6,12/01/2023 19:55:57,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,168,192,2,Screen 1,Zone6,content_web_audio,1.1000000014901161,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj67_m_pura_288.wav,Babble_153.wav,u,1,,5-A,noise,subj67,m,pura,288
961,1673574955661,13/01/2023 01:55:55,1673574957679,-6,12/01/2023 19:55:57,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,168,192,2,Screen 1,Zone8,content_web_audio,1.7999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj67_m_pura_288.wav,Babble_153.wav,u,1,,5-A,noise,subj67,m,pura,288
962,1673574955661,13/01/2023 01:55:55,1673574957679,-6,12/01/2023 19:55:57,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,168,192,2,Screen 1,Zone7,content_web_audio,2.1999999955296516,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj67_m_pura_288.wav,Babble_153.wav,u,1,,5-A,noise,subj67,m,pura,288
963,1673574956717,13/01/2023 01:55:56,1673574958849,-6,12/01/2023 19:55:58,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,168,192,2,Screen 1,Zone2,response_button_text,1171.7999999970198,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj67_m_pura_288.wav,Babble_153.wav,u,1,,5-A,noise,subj67,m,pura,288
964,1673574957047,13/01/2023 01:55:57,1673574959197,-6,12/01/2023 19:55:59,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,104,193,1,Screen 2,fixation,fixation,350.0100000000093,,,,,0,1,0,,,,,1,Trial (Noise),i_subj78_m_piso_158.wav,Babble_036.wav,i,1,,5-A,noise,subj78,m,piso,158
965,1673574957214,13/01/2023 01:55:57,1673574959213,-6,12/01/2023 19:55:59,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,104,193,2,Screen 1,Zone6,content_web_audio,1.1000000014901161,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_piso_158.wav,Babble_036.wav,i,1,,5-A,noise,subj78,m,piso,158
966,1673574957214,13/01/2023 01:55:57,1673574959214,-6,12/01/2023 19:55:59,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,104,193,2,Screen 1,Zone8,content_web_audio,1.8999999985098839,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_piso_158.wav,Babble_036.wav,i,1,,5-A,noise,subj78,m,piso,158
967,1673574957214,13/01/2023 01:55:57,1673574959214,-6,12/01/2023 19:55:59,92237,23,task-hjlp,,26357392,BLIND,7780655,,complete,,63c0b820b5317527898f7a51,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x864,1519x746,,Audio Naming Task,27,Block 5-A,soundCheckPassed,5-A,5-A,104,193,2,Screen 1,Zone7,content_web_audio,2.399999998509884,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj78_m_piso_158.wav,Babble_036.wav,i,1,,5-A,noise,subj78,m,piso,158
