Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1688,1673575952529,13/01/2023 02:12:32,1673575952365,-8,12/01/2023 18:12:32,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,295,170,2,Screen 2,Zone5,response_button_text,805.0000000001164,,,e,1,0,1,0,,,,,2,Trial (Quiet),i_subj50_f_pico_68.wav,none,i,,1,7-B,quiet,subj50,f,pico,68
1689,1673575952859,13/01/2023 02:12:32,1673575952706,-8,12/01/2023 18:12:32,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,324,171,1,Screen 1,fixation,fixation,350,,,,,0,1,0,,,,,2,Trial (Quiet),o_subj42_f_bote_357.wav,none,o,,1,7-B,quiet,subj42,f,bote,357
1690,1673575953053,13/01/2023 02:12:33,1673575952726,-8,12/01/2023 18:12:32,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,324,171,2,Screen 2,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,2,Trial (Quiet),o_subj42_f_bote_357.wav,none,o,,1,7-B,quiet,subj42,f,bote,357
1691,1673575953053,13/01/2023 02:12:33,1673575952727,-8,12/01/2023 18:12:32,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,324,171,2,Screen 2,Zone7,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,2,Trial (Quiet),o_subj42_f_bote_357.wav,none,o,,1,7-B,quiet,subj42,f,bote,357
1692,1673575953756,13/01/2023 02:12:33,1673575953582,-8,12/01/2023 18:12:33,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,324,171,2,Screen 2,Zone3,response_button_text,857,,,o,1,1,0,0,,,,,2,Trial (Quiet),o_subj42_f_bote_357.wav,none,o,,1,7-B,quiet,subj42,f,bote,357
1693,1673575954082,13/01/2023 02:12:34,1673575953922,-8,12/01/2023 18:12:33,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,234,172,1,Screen 1,fixation,fixation,350,,,,,0,1,0,,,,,2,Trial (Quiet),a_subj29_m_vara_227.wav,none,a,,1,7-B,quiet,subj29,m,vara,227
1694,1673575954277,13/01/2023 02:12:34,1673575953944,-8,12/01/2023 18:12:33,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,234,172,2,Screen 2,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,2,Trial (Quiet),a_subj29_m_vara_227.wav,none,a,,1,7-B,quiet,subj29,m,vara,227
1695,1673575954277,13/01/2023 02:12:34,1673575953945,-8,12/01/2023 18:12:33,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,234,172,2,Screen 2,Zone7,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,2,Trial (Quiet),a_subj29_m_vara_227.wav,none,a,,1,7-B,quiet,subj29,m,vara,227
1696,1673575955168,13/01/2023 02:12:35,1673575955016,-8,12/01/2023 18:12:35,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,234,172,2,Screen 2,Zone1,response_button_text,1073,,,a,1,1,0,0,,,,,2,Trial (Quiet),a_subj29_m_vara_227.wav,none,a,,1,7-B,quiet,subj29,m,vara,227
1697,1673575955514,13/01/2023 02:12:35,1673575955356,-8,12/01/2023 18:12:35,92237,23,task-3pqj,,26357490,BLIND,7780678,,complete,,63c0ba81302f0f3d84e3b320,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x325,,Audio Naming Task,27,Block 7-B,soundCheckPassed,7-B,7-B,366,173,1,Screen 1,fixation,fixation,350,,,,,0,1,0,,,,,2,Trial (Quiet),u_subj71_m_supo_258.wav,none,u,,1,7-B,quiet,subj71,m,supo,258
