Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
237,1673575182421,13/01/2023 01:59:42,1673575182744,-6,12/01/2023 19:59:42,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,177,47,2,Screen 1,Zone2,response_button_text,1864.0999999977648,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj27_f_buque_154.wav,Babble_183.wav,u,1,,4-A,noise,subj27,f,buque,154
238,1673575182764,13/01/2023 01:59:42,1673575183085,-6,12/01/2023 19:59:43,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,5,48,1,Screen 2,fixation,fixation,347.2719999999972,,,,,0,1,0,,,,,1,Trial (Noise),a_subj21_f_bate_196.wav,Babble_112.wav,a,1,,4-A,noise,subj21,f,bate,196
239,1673575183091,13/01/2023 01:59:43,1673575183108,-6,12/01/2023 19:59:43,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,5,48,2,Screen 1,Zone6,content_web_audio,2.2000000029802322,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj21_f_bate_196.wav,Babble_112.wav,a,1,,4-A,noise,subj21,f,bate,196
240,1673575183091,13/01/2023 01:59:43,1673575183109,-6,12/01/2023 19:59:43,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,5,48,2,Screen 1,Zone8,content_web_audio,3.100000001490116,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj21_f_bate_196.wav,Babble_112.wav,a,1,,4-A,noise,subj21,f,bate,196
241,1673575183091,13/01/2023 01:59:43,1673575183109,-6,12/01/2023 19:59:43,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,5,48,2,Screen 1,Zone7,content_web_audio,3.400000002235174,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj21_f_bate_196.wav,Babble_112.wav,a,1,,4-A,noise,subj21,f,bate,196
242,1673575185239,13/01/2023 01:59:45,1673575185562,-6,12/01/2023 19:59:45,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,5,48,2,Screen 1,Zone1,response_button_text,2455.300000000745,,,a,1,1,0,0,,,,,1,Trial (Noise),a_subj21_f_bate_196.wav,Babble_112.wav,a,1,,4-A,noise,subj21,f,bate,196
243,1673575185587,13/01/2023 01:59:45,1673575185904,-6,12/01/2023 19:59:45,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,176,49,1,Screen 2,fixation,fixation,347.38099999999395,,,,,0,1,0,,,,,1,Trial (Noise),u_subj34_f_puso_275.wav,Babble_013.wav,u,1,,4-A,noise,subj34,f,puso,275
244,1673575185788,13/01/2023 01:59:45,1673575185915,-6,12/01/2023 19:59:45,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,176,49,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj34_f_puso_275.wav,Babble_013.wav,u,1,,4-A,noise,subj34,f,puso,275
245,1673575185788,13/01/2023 01:59:45,1673575185915,-6,12/01/2023 19:59:45,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,176,49,2,Screen 1,Zone8,content_web_audio,1.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj34_f_puso_275.wav,Babble_013.wav,u,1,,4-A,noise,subj34,f,puso,275
246,1673575185788,13/01/2023 01:59:45,1673575185915,-6,12/01/2023 19:59:45,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,176,49,2,Screen 1,Zone7,content_web_audio,1.800000000745058,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj34_f_puso_275.wav,Babble_013.wav,u,1,,4-A,noise,subj34,f,puso,275
247,1673575187266,13/01/2023 01:59:47,1673575187597,-6,12/01/2023 19:59:47,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,176,49,2,Screen 1,Zone2,response_button_text,1683.1000000014901,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj34_f_puso_275.wav,Babble_013.wav,u,1,,4-A,noise,subj34,f,puso,275
248,1673575187615,13/01/2023 01:59:47,1673575187939,-6,12/01/2023 19:59:47,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,159,50,1,Screen 2,fixation,fixation,347.2719999999972,,,,,0,1,0,,,,,1,Trial (Noise),u_subj14_m_pura_127.wav,Babble_085.wav,u,1,,4-A,noise,subj14,m,pura,127
249,1673575187792,13/01/2023 01:59:47,1673575187953,-6,12/01/2023 19:59:47,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,159,50,2,Screen 1,Zone6,content_web_audio,1.300000000745058,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj14_m_pura_127.wav,Babble_085.wav,u,1,,4-A,noise,subj14,m,pura,127
250,1673575187792,13/01/2023 01:59:47,1673575187953,-6,12/01/2023 19:59:47,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,159,50,2,Screen 1,Zone8,content_web_audio,1.800000000745058,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj14_m_pura_127.wav,Babble_085.wav,u,1,,4-A,noise,subj14,m,pura,127
251,1673575187792,13/01/2023 01:59:47,1673575187954,-6,12/01/2023 19:59:47,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,159,50,2,Screen 1,Zone7,content_web_audio,2.199999999254942,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj14_m_pura_127.wav,Babble_085.wav,u,1,,4-A,noise,subj14,m,pura,127
252,1673575190585,13/01/2023 01:59:50,1673575190907,-6,12/01/2023 19:59:50,92237,23,task-qlrq,,26357441,BLIND,7780664,,complete,,63c0b7e71ead32c1704ff1fd,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x969,,Audio Naming Task,27,Block 4-A,soundCheckPassed,4-A,4-A,159,50,2,Screen 1,Zone2,response_button_text,2954.89999999851,,,u,1,1,0,0,,,,,1,Trial (Noise),u_subj14_m_pura_127.wav,Babble_085.wav,u,1,,4-A,noise,subj14,m,pura,127
