Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
1,1669947870526,02/12/2022 02:24:30,1669947871845,-6,01/12/2022 20:24:31,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1669947875287,02/12/2022 02:24:35,1669947876521,-6,01/12/2022 20:24:36,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,1,1,1,Screen 1,advancementZone,continue_button,4616.0999999940395,,,,,0,1,0,,,,,,Start Screen,,,,,,,p,,,,
3,1669947875610,02/12/2022 02:24:35,1669947876853,-6,01/12/2022 20:24:36,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,181,1,1,Screen 2,fixation,fixation,349.14599999999973,,,,,0,1,0,,,,,1,Trial (Noise),u_subj23_f_pura_180.wav,Babble_158.wav,u,1,,7-B,noise,subj23,f,pura,180
4,1669947875896,02/12/2022 02:24:35,1669947876870,-6,01/12/2022 20:24:36,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,181,1,2,Screen 1,Zone6,content_web_audio,2.7000000029802322,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj23_f_pura_180.wav,Babble_158.wav,u,1,,7-B,noise,subj23,f,pura,180
5,1669947875896,02/12/2022 02:24:35,1669947876871,-6,01/12/2022 20:24:36,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,181,1,2,Screen 1,Zone8,content_web_audio,3.5999999940395355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj23_f_pura_180.wav,Babble_158.wav,u,1,,7-B,noise,subj23,f,pura,180
6,1669947875896,02/12/2022 02:24:35,1669947876872,-6,01/12/2022 20:24:36,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,181,1,2,Screen 1,Zone7,content_web_audio,4.399999991059303,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),u_subj23_f_pura_180.wav,Babble_158.wav,u,1,,7-B,noise,subj23,f,pura,180
7,1669947876887,02/12/2022 02:24:36,1669947878101,-6,01/12/2022 20:24:38,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,181,1,2,Screen 1,Zone3,response_button_text,1232.0999999940395,,,o,1,0,1,0,,,,,1,Trial (Noise),u_subj23_f_pura_180.wav,Babble_158.wav,u,1,,7-B,noise,subj23,f,pura,180
8,1669947877214,02/12/2022 02:24:37,1669947878432,-6,01/12/2022 20:24:38,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,14,2,1,Screen 2,fixation,fixation,349.14599999999973,,,,,0,1,0,,,,,1,Trial (Noise),a_subj17_f_vata_274.wav,Babble_117.wav,a,1,,7-B,noise,subj17,f,vata,274
9,1669947877214,02/12/2022 02:24:37,1669947878449,-6,01/12/2022 20:24:38,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,14,2,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj17_f_vata_274.wav,Babble_117.wav,a,1,,7-B,noise,subj17,f,vata,274
10,1669947877214,02/12/2022 02:24:37,1669947878450,-6,01/12/2022 20:24:38,92237,21,task-3pqj,,25622086,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Audio Naming Task,26,Block 7-B,soundCheckPassed,7-B,7-B,14,2,2,Screen 1,Zone8,content_web_audio,2.7999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj17_f_vata_274.wav,Babble_117.wav,a,1,,7-B,noise,subj17,f,vata,274
