Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
1,1669947703698,02/12/2022 02:21:43,1669947705042,-6,01/12/2022 20:21:45,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669947761837,02/12/2022 02:22:41,1669947763155,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-1,25-35
3,1669947762137,02/12/2022 02:22:42,1669947763157,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-1-quantised,2
4,1669947762137,02/12/2022 02:22:42,1669947763157,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-gender,femenina
5,1669947762137,02/12/2022 02:22:42,1669947763157,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-impairment,No
6,1669947762137,02/12/2022 02:22:42,1669947763157,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-impairment-quantised,2
7,1669947762137,02/12/2022 02:22:42,1669947763158,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-native,si
8,1669947762137,02/12/2022 02:22:42,1669947763158,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-fluency,"Ingles, desde los 3 anos "
9,1669947762137,02/12/2022 02:22:42,1669947763158,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-where,mis papas
10,1669947762137,02/12/2022 02:22:42,1669947763158,-6,01/12/2022 20:22:43,92237,21,questionnaire-enic,,25622070,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Language Background,5,Block 7-B,soundCheckPassed,No,response-aoa,0
