Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,group,block,vowel,subject,gender,word,token_num,filename,babble
1,1669947796123,02/12/2022 02:23:16,1669947797447,-6,01/12/2022 20:23:17,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1669947828876,02/12/2022 02:23:48,1669947830108,-6,01/12/2022 20:23:50,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,32609.70000000298,,,,,0,1,0,,,,,,Prompt,,,,,,,,,
3,1669947829314,02/12/2022 02:23:49,1669947830531,-6,01/12/2022 20:23:50,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,fixation,fixation,451.5309999999954,,,,,0,1,0,,,,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
4,1669947830034,02/12/2022 02:23:50,1669947830549,-6,01/12/2022 20:23:50,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,Zone1,content_web_audio,2.7999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
5,1669947830034,02/12/2022 02:23:50,1669947830551,-6,01/12/2022 20:23:50,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,Zone2,content_web_audio,4.0999999940395355,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
6,1669947832316,02/12/2022 02:23:52,1669947833540,-6,01/12/2022 20:23:53,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,Zone3,timelimit_screen,2992.6800000000003,,,,,0,1,0,,,1,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
7,1669947837394,02/12/2022 02:23:57,1669947838603,-6,01/12/2022 20:23:58,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,5,Timeout,advancementZone,continue_button,5056.199999988079,,,,,0,1,0,,,,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
8,1669947837563,02/12/2022 02:23:57,1669947838612,-6,01/12/2022 20:23:58,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,2,1,6,Transition,Zone1,timelimit_screen,16.62600000000384,,,,,0,1,0,,,1,,1,Trial,0-A,noise,a,subj17,f,pata,152,a_subj17_f_pata_152.wav,Babble_044.wav
9,1669947837838,02/12/2022 02:23:57,1669947839060,-6,01/12/2022 20:23:59,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,1,Screen 1,fixation,fixation,448.90200000000186,,,,,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
10,1669947837838,02/12/2022 02:23:57,1669947839075,-6,01/12/2022 20:23:59,92237,21,task-43kc,,25622079,BLIND,7588804,,complete,,638960d9ee53c1c2b0e120ec,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x654,,Test Run,13,Block 7-B,soundCheckPassed,Spreadsheet1,Spreadsheet1,10,2,2,Screen 2,Zone1,content_web_audio,1.8999999910593033,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial,0-A,quiet,o,subj38,f,toca,185,o_subj38_f_toca_185.wav,none
