Filename,Subject,Vowel,Duration,Z_Duration
u_subj47_f_pura_174,subj47,u,0.1751505450069942,2.933019190189924
e_subj62_m_vete_186,subj62,e,0.2193416454303417,2.957924056627485
e_subj15_m_seca_55,subj15,e,0.1111235063759266,-2.8799229687837133
e_subj79_m_seca_286,subj79,e,0.102501922526153,2.513484205697566
e_subj25_f_seque_147,subj25,e,0.1062431510240116,-2.936177499679431
i_subj64_m_viso_152,subj64,i,0.1662716417798379,2.6806552618404185
a_subj63_m_baso_265,subj63,a,0.2055594161147041,2.513668589711665
o_subj53_m_coro_196,subj53,o,0.1919245056019406,2.9121726416486475
e_subj76_m_vete_423,subj76,e,0.1631457368086671,2.5601534901234717
i_subj79_m_quito_281,subj79,i,0.1295935049694435,2.6846632778863753
i_subj57_m_viso_128,subj57,i,0.2166086170261906,2.7203526420429975
o_subj77_m_coro_203,subj77,o,0.2202192385467697,2.668641970684093
o_subj79_m_coro_205,subj79,o,0.1356269067586822,2.7718265357336938
a_subj53_m_vara_105,subj53,a,0.1795490201933433,2.563191015029292
a_subj39_f_baso_192,subj39,a,0.2822004879631038,3.260972601944282
e_subj81_m_peca_39,subj81,e,0.1653901105632101,2.6707102060916084
a_subj43_f_baso_251,subj43,a,0.2713206192867347,2.825373101878687
a_subj11_m_bate_113,subj11,a,0.044863112350265,-2.7689260223927703
i_subj73_m_viso_91,subj73,i,0.2146141800150559,2.8333652967969205
o_subj81_m_bota_117,subj81,o,0.2048816039563888,2.6400978477901127
a_subj30_f_vara_215,subj30,a,0.204937189298613,2.887867605919489
a_subj68_m_saque_101,subj68,a,0.0868967135062717,-2.5380995754273616
u_subj11_m_buque_167,subj11,u,0.084134399895953,-2.530509012797489
i_subj41_f_viso_123,subj41,i,0.1863993939005098,2.8672363581975664
u_subj16_f_pura_104,subj16,u,0.2289949731124295,2.5959167709705846
a_subj2_f_bate_113,subj2,a,0.2399952902770025,2.741040666845114
o_subj30_f_coro_238,subj30,o,0.1680848324585838,2.5135312853480203
a_subj22_f_vara_181,subj22,a,0.194288660373752,2.7449218405944316
u_subj27_f_pura_230,subj27,u,0.2318513905059035,2.5591343294084656
o_subj58_m_bote_68,subj58,o,0.174120344669484,2.845093010691571
i_subj5_f_quite_67,subj5,i,0.0669587938014274,-3.0819447785606453
u_subj37_f_buque_166,subj37,u,0.0736579176081534,-2.586324788603251
i_subj15_m_quita_233,subj15,i,0.1174937383582005,-2.6379511228380554
u_subj32_f_pura_70,subj32,u,0.2187715297032127,3.2961247488432965
u_subj17_f_cura_217,subj17,u,0.1992000164068997,2.6420310959652564
a_subj27_f_vara_147,subj27,a,0.2405841414494262,2.578848622135839
o_subj15_m_coro_58,subj15,o,0.1736075160307365,2.59303416693208
a_subj79_m_vara_111,subj79,a,0.1618862401700141,2.600235073520318
o_subj52_m_coro_176,subj52,o,0.1616486361301895,2.9662232804848476
e_subj53_m_veto_182,subj53,e,0.1565447663452573,2.8678845367304757
a_subj18_f_baso_290,subj18,a,0.2292961308774806,2.6772869905105083
u_subj41_f_pura_143,subj41,u,0.1444150435781864,2.641831578979572
i_subj66_m_quito_162,subj66,i,0.1582744059174899,2.766049912001916
