Filename,Subject,Vowel,F0,Z_F0,Correction
i_subj26_f_pica_227,subj26,i,103.29224331555600,-3.6138448153236700,207.229482681562
e_subj79_m_seca_286,subj79,e,0,-3.3075113033920800,94.32476295912312 Hz
i_subj65_m_viso_340,subj65,i,0,-2.8080295698958200,76.9554246342777
o_subj55_m_toco_242,subj55,o,124.1755468067930,2.5498578522576000,-
a_subj41_f_saque_111,subj41,a,213.26710420372600,3.1812122916806700,207.661953142308
e_subj16_f_seso_154,subj16,e,84.29997489642630,-2.679499889964930,255.386041763664
o_subj35_f_coro_186,subj35,o,250.57363850226500,2.5950240843625400,-
u_subj29_m_buque_100,subj29,u,135.0726463959640,-2.5953777189813100,-
e_subj52_m_veto_149,subj52,e,518.652289575876,2.5757978618224000,?
a_subj48_f_baso_127,subj48,a,95.79153704518840,-2.5742562677801100,199
o_subj1_m_coro_169,subj1,o,132.4176624978070,2.974060194669310,-
a_subj81_m_baso_74,subj81,a,0,-3.539623316099000,119.095533301984
i_subj76_m_quite_179,subj76,i,77.30773661796570,-3.5059452386200900,151.600895037099
i_subj11_m_quita_333,subj11,i,129.96812697663700,2.789397522469690,-
o_subj59_m_toque_291,subj59,o,248.1694079509170,2.560074977031510,123.551162007062
o_subj46_f_toca_107,subj46,o,218.57581126197200,3.080855753533570,109.930472292731
a_subj78_m_saco_184,subj78,a,0,-3.3982002988216600,141
i_subj53_m_pica_185,subj53,i,0,-3.4436808933841300,115
a_subj5_f_baso_155,subj5,a,77.75489401238090,-3.201324915835170,146
o_subj18_f_toca_77,subj18,o,239.2992931161460,2.5138688207093500,?
i_subj30_f_pica_44,subj30,i,236.2436316121670,2.6040852661769200,-
i_subj25_f_quite_137,subj25,i,0,-3.0778294523564600,234.864819224859
o_subj39_f_cosa_93,subj39,o,123.6469448904930,-3.485875542240560,?
i_subj57_m_pico_60,subj57,i,297.63791548186100,2.5889953420388900,?
u_subj40_f_tusa_119,subj40,u,106.45689409037600,-3.2761837806956100,211.058829252661
u_subj33_f_buque_78,subj33,u,117.1702059121810,-3.656296625750200,?
u_subj36_f_buque_35,subj36,u,253.58458573348900,-2.6730819759735400,-
e_subj11_m_seso_319,subj11,e,462.3300721853500,3.745390504187560,
u_subj41_f_puso_255,subj41,u,107.9321292036520,-3.553514427457720,
e_subj77_m_seca_290,subj77,e,111.9789685279520,2.775284608905920,
i_subj12_f_pisa_196,subj12,i,0,-3.7191422683897500,
a_subj80_m_bata_256,subj80,a,0,-3.59886606914535,
a_subj71_m_saco_347,subj71,a,150.25343566334200,2.6218078981753100,
a_subj13_f_saco_269,subj13,a,107.7800115680740,-2.5432415209005900,
u_subj25_f_supo_155,subj25,u,0,-2.5438008641919100,
i_subj66_m_quita_238,subj66,i,0,-2.7918365952225200,
e_subj19_f_seque_197,subj19,e,97.67654117776300,-2.5566585109286100,
u_subj58_m_supo_133,subj58,u,342.98440012107200,2.830100178370390,
u_subj80_m_cuco_60,subj80,u,0,-3.432617124302590,
e_subj6_f_peca_208,subj6,e,103.14252586679200,-3.5005018657714500,
i_subj5_f_viso_85,subj5,i,106.68666903796600,-2.5251447893262300,225
u_subj12_f_cura_155,subj12,u,243.3764976043240,2.9057213650291600,
e_subj26_f_vete_239,subj26,e,101.9569606375690,-3.523360907609400,
o_subj24_m_toco_221,subj24,o,140.009418660555,2.675624121739340,
i_subj45_f_quite_263,subj45,i,264.11690981056800,2.9736208157350300,
e_subj27_f_seca_43,subj27,e,221.0540773193050,2.796042446432990,
i_subj5_f_viso_121,subj5,i,106.41701546887100,-2.532535260510530,211.964647797782
a_subj53_m_saco_198,subj53,a,0,-3.4472603291760200,
e_subj51_f_seco_151,subj51,e,116.80878614819300,-2.5306521158079400,
a_subj65_m_bate_402,subj65,a,97.77066192288780,-3.292522605211360,
a_subj23_f_baso_230,subj23,a,107.71329668853900,-2.5192162782571700,
u_subj52_m_tusa_291,subj52,u,110.9014966110450,-2.627226717141930,
a_subj11_m_bate_113,subj11,a,0,-3.690738035693130,
i_subj33_f_quito_256,subj33,i,114.68778838946500,-3.6616258407206800,
o_subj48_f_bote_51,subj48,o,183.62148075204300,-2.5695837970003300,
e_subj18_f_seco_267,subj18,e,109.65892444965200,-3.5925258921818900,
u_subj8_f_cuco_195,subj8,u,122.49038448103800,-3.2527601024835100,
o_subj53_m_cosa_210,subj53,o,161.26817178139400,2.9754334558526400,
u_subj50_f_cuco_35,subj50,u,126.140025452763,-3.533494155199650,
i_subj59_m_pite_250,subj59,i,266.4447860123240,3.708071660014490,
a_subj44_f_bata_113,subj44,a,85.63201960432310,-3.6203906596653700,
i_subj42_f_quite_76,subj42,i,575.1257073928700,3.4972237074587400,
u_subj53_m_cura_189,subj53,u,82.76638832332080,-3.134106795745390,
a_subj26_f_saque_242,subj26,a,99.4468614214727,-3.644332031987950,
a_subj54_m_bata_102,subj54,a,76.29586911530480,-3.698996754787450,
e_subj30_f_seca_47,subj30,e,228.1321660734580,2.8172416511579200,
i_subj39_f_quita_146,subj39,i,88.6097026797132,-2.673900232760020,
o_subj63_m_toque_226,subj63,o,99.96845683993630,-2.6251039040634600,
a_subj27_f_bata_106,subj27,a,87.09710498283380,-3.5879266704736900,
i_subj79_m_quite_255,subj79,i,132.06268352600900,2.5214283940624700,
e_subj7_f_veto_162,subj7,e,76.6360449900941,-3.6954089404209000,
i_subj49_f_pica_222,subj49,i,111.11837969873200,-3.6696691151411900,
a_subj7_f_saco_85,subj7,a,111.0555598126360,-3.647490303117690,
u_subj11_m_supe_267,subj11,u,134.0216857657570,2.7530764200171200,
a_subj68_m_saque_101,subj68,a,0,-3.6736458104660800,
u_subj26_f_puso_121,subj26,u,107.93236209543900,-3.595063176881450,
i_subj2_f_quita_46,subj2,i,112.80695409378900,-3.583343966471100,231.616170054624
e_subj66_m_beta_29,subj66,e,131.43725577180200,2.77150768086433,
a_subj13_f_saca_126,subj13,a,107.91149824282600,-2.5396572190714300,
a_subj25_f_vara_150,subj25,a,0,-2.686975959482570,
o_subj65_m_bota_335,subj65,o,0,-2.914685056131350,
o_subj28_f_bota_204,subj28,o,93.67569204134860,-3.451805059512290,
o_subj51_f_coro_56,subj51,o,246.48442980419000,2.602410268397870,
o_subj56_m_coro_166,subj56,o,92.6348980828434,-2.5126913188958700,
e_subj28_f_beta_111,subj28,e,94.58474593523480,-2.5134246909616600,
a_subj56_m_bate_161,subj56,a,119.07286606896400,2.812862902946440,
a_subj14_m_saco_273,subj14,a,151.05025290411100,3.2424676609333400,
a_subj46_f_bata_150,subj46,a,97.54566320131910,-3.656164627248710,
e_subj28_f_seca_245,subj28,e,93.51538825461710,-2.547151153621410,
i_subj62_m_viso_40,subj62,i,79.11402519805310,-2.835296198958380,
u_subj73_m_cura_205,subj73,u,79.52195607043420,-2.538986310971740,
a_subj42_f_baso_328,subj42,a,89.9601121463705,-2.6148872131409700,
u_subj49_f_supe_173,subj49,u,111.98796928551800,-3.6629857251695600,
i_subj6_f_pite_47,subj6,i,119.02047123701800,-3.1292620997750300,
u_subj2_f_supe_125,subj2,u,110.25864043768600,-2.6830696810641600,-
a_subj70_m_saco_110,subj70,a,0,-2.65635210006931,
a_subj10_f_saque_153,subj10,a,170.78965904476200,-2.598427086198050,-
a_subj48_f_saque_133,subj48,a,98.26961029787420,-2.5050229749886300,
a_subj38_f_saca_239,subj38,a,269.59920022482000,3.018215545572610,
e_subj72_m_seso_239,subj72,e,0,-3.5870336340972500,
e_subj12_f_seco_143,subj12,e,109.13673994744400,-3.5730053740386600,
e_subj46_f_peca_72,subj46,e,94.29764067311990,-2.543950132194030,
a_subj6_f_saco_247,subj6,a,94.68408671763350,-3.4318930758921900,
u_subj22_f_cuco_186,subj22,u,275.39706867877000,2.816600946921480,
e_subj42_f_veto_309,subj42,e,92.231172196026200,-3.4726929895233100,
o_subj43_f_cosa_194,subj43,o,251.6989444767440,2.7409304100784500,
a_subj57_m_baso_63,subj57,a,343.320893100875,3.6023981753200800,
a_subj51_f_saque_121,subj51,a,243.22945350931400,2.61792404858622,
o_subj37_f_bota_139,subj37,o,106.19047924612400,-2.573066318678410,
a_subj4_f_saque_211,subj4,a,106.73404936508200,-3.6394805174173600,-
u_subj25_f_cuco_144,subj25,u,0,-2.5438008641919100,
a_subj19_f_saco_258,subj19,a,0,-3.272727656750450,
i_subj47_f_quito_37,subj47,i,539.5099762310690,3.4534896718439000,
o_subj42_f_voto_130,subj42,o,103.51918578124100,-3.521675523088030,
i_subj60_m_quita_227,subj60,i,76.18617364950250,-3.284740631931940,
o_subj38_f_coro_92,subj38,o,113.5882631649340,-3.371891542975920,
u_subj66_m_buque_42,subj66,u,0,-3.350809920423530,
o_subj73_m_bote_260,subj73,o,77.63036002530000,-3.4138320237833400,
o_subj27_f_coro_213,subj27,o,203.51762197326700,2.5924395479836300,
u_subj59_m_buque_266,subj59,u,0,-3.697236671369160,
u_subj37_f_buque_166,subj37,u,108.16893077303700,-3.7538355220435400,
a_subj39_f_bata_123,subj39,a,106.61225068619100,-2.699620483017660,
i_subj50_f_quito_170,subj50,i,95.57514665152800,-3.2405531386781500,
i_subj35_f_quite_171,subj35,i,116.2223323741030,-3.6591953858827700,
a_subj30_f_bate_110,subj30,a,94.72831545861240,-3.6977597493239700,
u_subj72_m_cuco_172,subj72,u,82.72312343288690,-3.3098469736431900,
i_subj10_f_quite_67,subj10,i,0,-3.235364963112250,?
o_subj5_f_bote_123,subj5,o,92.48843867081790,-2.5462482239293200,
o_subj25_f_toca_253,subj25,o,114.05878245959400,-3.614982233335050,
i_subj51_f_quito_260,subj51,i,120.0267078119640,-3.2645315650010100,
e_subj56_m_seco_174,subj56,e,505.43403566345200,3.3215224437833300,
u_subj70_m_supo_50,subj70,u,0,-3.3174787508967300,
i_subj67_m_quito_299,subj67,i,135.14982029189000,3.060247310887000,
e_subj33_f_seca_219,subj33,e,249.50179623784500,2.904421439758100,
a_subj33_f_baso_213,subj33,a,113.55250695920300,-3.2449735981456000,
u_subj10_f_tusa_60,subj10,u,182.97358900217400,-2.8031627586352500,
a_subj17_f_bata_274,subj17,a,108.15421654734600,-3.742401436121460,
a_subj50_f_saca_40,subj50,a,212.1228468657690,2.5625182790596600,
e_subj2_f_vete_118,subj2,e,99.157576774766,-3.6251508663323100,-
a_subj60_m_saca_350,subj60,a,359.21865690481300,3.317796001281600,
i_subj18_f_pica_320,subj18,i,117.32050252542200,-3.43659001640045,
e_subj8_f_seque_176,subj8,e,93.5807342684615,-3.648169991447940,
u_subj62_m_tusa_134,subj62,u,82.95721000358220,-3.0329401300796000,
i_subj8_f_pite_50,subj8,i,229.1679535084840,2.5328017946315000,
i_subj37_f_quite_156,subj37,i,76.07354266154000,-3.4068778486422800,
o_subj31_m_cosa_243,subj31,o,150.62131648900600,2.5127348854801,
o_subj52_m_toco_75,subj52,o,527.5121299244350,3.7475194573871700,
i_subj31_m_pica_364,subj31,i,290.7785888335810,3.5028079245367700,
e_subj81_m_beta_256,subj81,e,0,-3.44485493938238,
