Filename,Subject,Vowel,F0,Z_F0
u_subj73_m_cura_205,subj73,u,79.52195607043417,-2.538986310971741
a_subj42_f_baso_328,subj42,a,89.9601121463705,-2.6148770335838987
u_subj49_f_supe_173,subj49,u,111.98796928551816,-3.6629881006488847
i_subj6_f_pite_47,subj6,i,119.02047123701804,-3.129207425704372
u_subj2_f_supe_125,subj2,u,110.25864043768554,-2.6831070287526946
a_subj70_m_saco_110,subj70,a,0,-2.65635210006931
a_subj10_f_saque_153,subj10,a,170.78965904476212,-2.5984268236502936
a_subj48_f_saque_133,subj48,a,98.26961029787417,-2.505022479228344
a_subj38_f_saca_239,subj38,a,269.59920022481975,3.018207810139916
e_subj72_m_seso_239,subj72,e,0,-3.5870336340972466
e_subj12_f_seco_143,subj12,e,109.13673994744362,-3.5730876951034367
e_subj46_f_peca_72,subj46,e,94.29764067311991,-2.543958441814163
a_subj6_f_saco_247,subj6,a,94.68397333162214,-3.4318737969125954
u_subj22_f_cuco_186,subj22,u,275.3834116579654,2.815871883861684
e_subj42_f_veto_309,subj42,e,92.231172196026165,-3.4726961121735522
o_subj43_f_cosa_194,subj43,o,251.69787104743335,2.7412288615147955
a_subj57_m_baso_63,subj57,a,343.320893100875,3.6023981753200833
a_subj51_f_saque_121,subj51,a,243.22945350931352,2.617951475697083
o_subj37_f_bota_139,subj37,o,106.199900461152,-2.572969853486971
a_subj4_f_saque_211,subj4,a,106.73404936508204,-3.639480713136883
u_subj25_f_cuco_144,subj25,u,0,-2.54380011639742
a_subj19_f_saco_258,subj19,a,0,-3.2727134346874642
i_subj47_f_quito_37,subj47,i,539.5099762310693,3.453477857609019
o_subj42_f_voto_130,subj42,o,103.52316509537212,-3.521719381218512
i_subj60_m_quita_227,subj60,i,76.18617364950246,-3.284740631931941
o_subj38_f_coro_92,subj38,o,113.5882631649336,-3.371879927951341
u_subj66_m_buque_42,subj66,u,0,-3.350809920423532
o_subj73_m_bote_260,subj73,o,77.63036002529999,-3.4138320237833426
o_subj27_f_coro_213,subj27,o,203.51762197326656,2.592599145436137
u_subj59_m_buque_266,subj59,u,0,-3.697236671369155
u_subj37_f_buque_166,subj37,u,108.1843956607008,-3.7538512702996827
a_subj39_f_bata_123,subj39,a,106.61225068619136,-2.69961790892827
i_subj50_f_quito_170,subj50,i,95.57454843694217,-3.240563132994707
i_subj35_f_quite_171,subj35,i,116.2246668698218,-3.659197058385009
a_subj30_f_bate_110,subj30,a,94.7304861343192,-3.697760222206972
u_subj72_m_cuco_172,subj72,u,82.72312343288685,-3.3098469736431935
i_subj10_f_quite_67,subj10,i,0,-3.2353679053359414
o_subj5_f_bote_123,subj5,o,92.48843867081789,-2.5462574796304724
o_subj25_f_toca_253,subj25,o,114.05878245959408,-3.6149238250793627
