Filename,Subject,Vowel,Word,F0,F1_50,F2_50,F3_50,F4,Duration
i_subj47_f_pite_197,subj47,i,pite,244.54870233273564,415.2804377836469,2659.421915975191,2958.6750884037824,NA,0.0957638640606376
e_subj81_m_peca_261,subj81,e,peca,101.23384975396095,453.50156598208,2039.72609370272,2670.002627337982,NA,0.11664109942952336
u_subj74_m_buque_230,subj74,u,buque,128.39161089406295,351.04115543934506,716.4140258509968,2478.712181226977,NA,0.09811683073649533
u_subj65_m_pura_350,subj65,u,pura,104.4431935379945,636.7895439993395,3243.1654710699404,4441.289946726288,NA,0.17435842820631253
o_subj66_m_cosa_92,subj66,o,cosa,102.16767423674082,435.5686043109752,887.8513867018022,2335.2919235195936,NA,0.12367725626510548
i_subj37_f_pica_131,subj37,i,pica,239.3029193480278,368.59919445723,2747.553450921166,3504.6882189315234,NA,0.1238975232931466
i_subj11_m_quita_45,subj11,i,quita,109.22011038890945,308.0849925619851,2277.0326488490437,2886.1080198511995,NA,0.10253296992660096
u_subj10_f_tusa_139,subj10,u,tusa,215.03177382212252,426.3946046248956,1573.059091455947,2897.4905961759528,NA,0.10164193515606144
u_subj75_m_buque_242,subj75,u,buque,124.11059639922507,341.7156094210364,704.6927199777759,2578.8167539104024,NA,0.13934063742461833
u_subj74_m_cuco_222,subj74,u,cuco,140.57173806097725,553.904896278493,3033.0194618495652,3465.623550680522,NA,0.08079039656828399
i_subj77_m_quita_115,subj77,i,quita,104.56627795330589,253.89571509369267,2396.753936311669,3089.965757168806,NA,0.11423603723673068
i_subj1_m_pico_193,subj1,i,pico,119.91918698200972,335.1273559366514,2520.608943836605,2975.5287217287996,NA,0.08855925763850223
i_subj69_m_quite_124,subj69,i,quite,75.98745412968663,2557.266632580358,3359.1327575542605,3920.645230740256,NA,0.07444074698622102
i_subj10_f_quito_180,subj10,i,quito,200.03574496959183,373.8939705420994,2739.9330043226832,3136.082090673701,NA,0.05939365144387806
i_subj31_m_quito_319,subj31,i,quito,139.23137753741682,266.8906223220406,2480.7726902036097,2968.8897665543377,NA,0.13773174616388817
a_subj28_f_vato_225,subj28,a,vato,184.77483648914233,261.02975397880033,857.460313146269,1636.5324528281185,NA,0.16693383321955368
i_subj1_m_viso_142,subj1,i,viso,112.94638695128688,308.7204080542768,2413.551269649342,3010.6452772662587,NA,0.1080372113985902
i_subj8_f_quito_181,subj8,i,quito,210.24034819811007,365.2527052268659,2857.815946485907,3318.714227584791,NA,0.1369478797052409
e_subj35_f_veto_201,subj35,e,veto,231.3321697464018,505.2343778924535,2097.8737347392016,2970.306590734711,NA,0.1419978013820412
o_subj72_m_bote_124,subj72,o,bote,125.99449453751664,467.1525336743256,824.7445476641593,2694.674252368602,NA,0.11452888851288776
i_subj10_f_quite_135,subj10,i,quite,202.2262460560216,369.44877100744856,2854.8602387505684,3721.5681846032344,NA,0.07466714770782232
e_subj73_m_seca_180,subj73,e,seca,166.84718418639076,415.3917813923248,1983.3657610522105,2691.203313487733,NA,0.11282620775591
u_subj20_m_pura_160,subj20,u,pura,153.0212470679938,334.5476601142857,768.7722896459921,2346.4720636889097,NA,0.14902519793883473
i_subj6_f_quite_221,subj6,i,quite,210.8907762281904,386.1033930134176,2818.3947041306105,3220.8019082897276,NA,0.14819634549623972
i_subj60_m_pico_287,subj60,i,pico,142.58345839874042,299.665932459581,2165.313718347698,2887.2938928908684,NA,0.11582943062554704
u_subj66_m_supo_100,subj66,u,supo,103.97455573934586,221.97066091641807,1284.4141184257037,2323.791579239042,NA,0.05845874776995571
u_subj1_m_puso_229,subj1,u,puso,115.7847942036775,333.17293444673476,879.5478599860176,2651.4668910524188,NA,0.1161440571743185
e_subj58_m_seca_93,subj58,e,seca,0,507.3960052637461,1729.8085638887794,2383.75861462569,NA,0.11579703123973104
e_subj59_m_seco_234,subj59,e,seco,134.15449955134525,531.6899222905927,1823.5740909127417,2574.7132885130845,NA,0.11264485666569043
i_subj68_m_pisa_236,subj68,i,pisa,146.68786894126308,337.21870886980054,2271.877068176575,2997.583986922223,NA,0.11432043019700586
u_subj23_f_supe_132,subj23,u,supe,122.2735090026859,738.4303527661099,3968.847177125775,4546.662628989817,NA,0.13412317978528562
o_subj76_m_toque_188,subj76,o,toque,139.52206886826096,488.9436389380945,965.3644200476662,2291.9659307037587,NA,0.14930590398258803
e_subj76_m_seca_335,subj76,e,seca,141.80618197997023,549.5157468752539,1628.240242976001,2218.619893395754,NA,0.12500745665655583
e_subj73_m_seca_218,subj73,e,seca,161.29493813042922,461.10038976859073,1984.1262620493903,2838.2852192605947,NA,0.12917448589925015
i_subj3_m_pico_250,subj3,i,pico,128.31968279475373,287.3098590467362,2488.272337452051,2977.4804583837868,NA,0.11136863624715829
