Filename,Subject,Vowel,F1_50,Z_F1_50,F2_50,Z_F2_50,F3_50,Z_F3_50,F4,Z_F4
i_subj26_f_pisa_258,subj26,i,226.541080284213,-2.1941146577660366,432.87507516465433,-2.5099489299444704,1395.8575696362211,-2.3358991341118944,1984.819088721028,-2.4821013399649376
o_subj64_m_voto_246,subj64,o,686.6456922380379,3.547011385543431,2782.028173953752,3.717439372813358,3129.1707541327537,3.116389512408109,4086.92111411816,3.6923457224766443
u_subj27_f_supo_179,subj27,u,252.19173661321196,-3.1063686644678885,440.1121487369346,-2.9582328557638067,1017.2435312643076,-2.4120940991701905,1565.9972814286837,-2.404090077563321
u_subj67_m_puso_86,subj67,u,422.4783326614416,2.8446808146257676,1213.3897442055377,0.31753878398128316,2591.2442556550905,1.9164426227790747,3387.1183549427865,-1.714040789116742
u_subj57_m_puso_140,subj57,u,303.04973125393593,-2.5150394453818246,763.1144124506022,-1.017750729087859,1483.8384853420137,-1.4164357225559088,2167.1131304155388,-1.1481647108576158
a_subj75_m_saca_273,subj75,a,793.9239001145007,1.0711518410112382,1454.0177648494007,2.874361525429122,2525.408902157386,0.3013689402372115,3494.720064220506,0.35386410623657666
a_subj74_m_saco_208,subj74,a,655.8435145156994,-1.5165569978963076,1313.3701349369603,0.0875809502831708,2092.3022349592184,-2.1869272036540046,2979.353090537347,-2.5458992656543944
e_subj13_f_seca_251,subj13,e,605.7974077813119,0.8909170503530285,1919.4062071737417,-0.8905242790078007,2736.190205101253,-2.3145635940598246,3796.0054096729946,-2.5228857797503754
u_subj46_f_supo_109,subj46,u,441.7493505553128,0.2992936080263456,978.6030329148296,0.004963390443498852,1986.946426373005,-3.478062946139412,2813.657752325391,-3.501385807365565
u_subj56_m_buque_155,subj56,u,493.1707470029114,3.391373496747322,2770.888775824003,3.6340819461780183,3482.115105289889,3.141670318731783,5191.322555949481,3.4044215574666508
o_subj66_m_bote_192,subj66,o,601.2501078634726,1.5723292270355445,2766.303519664645,2.5192301627374127,3394.66706988954,2.147670751194765,4876.787890364864,2.1974461614441343
e_subj71_m_veto_378,subj71,e,542.414339832186,2.6781501015116467,1627.7759748668043,-2.32656883764693,2719.3954803749352,2.260307175290029,3641.799831167325,0.07018496777783352
i_subj9_m_quita_357,subj9,i,340.34579018673094,2.6770149297612087,1655.739818451486,-3.6791640194058712,2421.8961603570842,-2.1393967722433107,3153.297440207043,-3.319698515322946
a_subj41_f_beta_125,subj41,a,634.7319687907152,-3.4883942617749653,1852.6186764584545,2.7342104232605893,2885.91353850124,2.867446436502079,3951.5519671104894,-0.4800925958926142
