Filename,Subject,Vowel,F0
subj48_f_cuco_193,subj48,u,-3.498983685329327
subj48_f_paso_127,subj48,a,-3.688047576597465
subj49_f_coro_330,subj49,o,-3.4910239970146613
subj49_f_pica_222,subj49,i,-3.669074296158701
subj49_f_seque_226,subj49,e,-3.246769341687929
subj49_f_supe_173,subj49,u,-3.53028350343535
subj4_f_saque_211,subj4,a,-3.6413465532529536
subj50_f_cucu_35,subj50,u,-3.339528342958316
subj50_f_quito_170,subj50,i,-3.1619957480054968
subj50_f_saca_40,subj50,a,2.5649163956202425
subj51_f_coro_267,subj51,o,-3.6042084680114685
subj51_f_quito_260,subj51,i,-3.4014494653984317
subj51_f_saque_121,subj51,a,2.6089851905998
subj51_f_seco_151,subj51,e,-2.853081679891679
subj52_m_toco_266,subj52,o,3.6126090068900596
subj53_m_cosa_210,subj53,o,2.925903125594164
subj53_m_cura_189,subj53,u,2.9064125090186006
subj53_m_pisa_108,subj53,i,2.6396110248044753
subj55_m_toco_242,subj55,o,2.5535472770494927
subj56_m_bate_161,subj56,a,2.7316231358855996
subj56_m_toco_205,subj56,o,3.6093726386700133
subj59_m_bote_194,subj59,o,3.36053216419246
subj5_f_coro_154,subj5,o,-3.54029709107929
subj5_f_piso_85,subj5,i,-3.658889375973703
subj5_f_vaso_155,subj5,a,-3.0975992003160395
subj5_f_veto_162,subj5,e,-3.2353071236309248
subj60_m_supo_248,subj60,u,-3.514029017900402
subj61_m_peca_68,subj61,e,-2.510061706438151
subj62_m_pite_152,subj62,i,-2.802404288512586
subj63_m_cosa_103,subj63,o,2.506769365942947
subj64_m_seso_89,subj64,e,-2.5997568823887156
subj65_m_bate_402,subj65,a,-2.95012672347759
subj66_m_beta_29,subj66,e,3.6079502376678088
subj66_m_bote_33,subj66,o,2.6533739441609945
subj66_m_buque_42,subj66,u,2.972010207717551
subj67_m_quite_198,subj67,i,3.343821096755619
subj67_m_saco_139,subj67,a,2.5489532033869837
subj69_m_quita_222,subj69,a,-3.4997817366742363
subj71_m_saco_347,subj71,a,2.6470379952623793
subj72_m_toco_62,subj72,o,2.5179537607696405
subj77_m_seca_290,subj77,e,2.7293933565882367
subj78_m_saca_135,subj78,a,2.713278051584878
subj7_f_cura_187,subj7,u,2.5149747272282608
subj80_m_pite_113,subj80,i,3.0279549361987557
subj80_m_vara_56,subj80,a,-2.5409144339641623
subj81_m_seso_103,subj81,e,-2.7836305082097303
subj8_f_cuco_195,subj8,u,-3.25364458659601
subj8_f_pite_50,subj8,i,2.611415536891829
