Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,group,block,subject,gender,word,token_num
1,1.66629E+12,20/10/2022 17:39:50,1.66629E+12,-7,20/10/2022 10:39:50,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1.66629E+12,20/10/2022 17:39:58,1.66629E+12,-7,20/10/2022 10:39:58,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,1,1,1,Screen 1,advancementZone,continue_button,8519,,,,,0,1,0,,,FALSE,,,Start Screen,,,,,,,,,
3,1.66629E+12,20/10/2022 17:39:59,1.66629E+12,-7,20/10/2022 10:39:59,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,111,1,1,Screen 2,fixation,fixation,567,,,,,0,1,0,,,FALSE,,1,Trial (Noise),i_subj69_m_quita_76.wav,Babble_152.wav,i,5-B,noise,subj69,m,quita,76
4,1.66629E+12,20/10/2022 17:39:59,1.66629E+12,-7,20/10/2022 10:39:59,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,111,1,2,Screen 1,Zone6,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj69_m_quita_76.wav,Babble_152.wav,i,5-B,noise,subj69,m,quita,76
5,1.66629E+12,20/10/2022 17:39:59,1.66629E+12,-7,20/10/2022 10:39:59,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,111,1,2,Screen 1,Zone8,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj69_m_quita_76.wav,Babble_152.wav,i,5-B,noise,subj69,m,quita,76
6,1.66629E+12,20/10/2022 17:39:59,1.66629E+12,-7,20/10/2022 10:39:59,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,111,1,2,Screen 1,Zone7,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj69_m_quita_76.wav,Babble_152.wav,i,5-B,noise,subj69,m,quita,76
7,1.66629E+12,20/10/2022 17:40:01,1.66629E+12,-7,20/10/2022 10:40:00,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,111,1,2,Screen 1,Zone4,response_button_text,1559,,,i,1,1,0,0,,,FALSE,,1,Trial (Noise),i_subj69_m_quita_76.wav,Babble_152.wav,i,5-B,noise,subj69,m,quita,76
8,1.66629E+12,20/10/2022 17:40:01,1.66629E+12,-7,20/10/2022 10:40:01,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,16,2,1,Screen 2,fixation,fixation,367,,,,,0,1,0,,,FALSE,,1,Trial (Noise),a_subj6_f_saque_146.wav,Babble_007.wav,a,5-B,noise,subj6,f,saque,146
9,1.66629E+12,20/10/2022 17:40:01,1.66629E+12,-7,20/10/2022 10:40:01,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,16,2,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),a_subj6_f_saque_146.wav,Babble_007.wav,a,5-B,noise,subj6,f,saque,146
10,1.66629E+12,20/10/2022 17:40:01,1.66629E+12,-7,20/10/2022 10:40:01,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,16,2,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),a_subj6_f_saque_146.wav,Babble_007.wav,a,5-B,noise,subj6,f,saque,146
11,1.66629E+12,20/10/2022 17:40:01,1.66629E+12,-7,20/10/2022 10:40:01,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,16,2,2,Screen 1,Zone7,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),a_subj6_f_saque_146.wav,Babble_007.wav,a,5-B,noise,subj6,f,saque,146
12,1.66629E+12,20/10/2022 17:40:02,1.66629E+12,-7,20/10/2022 10:40:02,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,16,2,2,Screen 1,Zone1,response_button_text,1562,,,a,1,1,0,0,,,FALSE,,1,Trial (Noise),a_subj6_f_saque_146.wav,Babble_007.wav,a,5-B,noise,subj6,f,saque,146
13,1.66629E+12,20/10/2022 17:40:03,1.66629E+12,-7,20/10/2022 10:40:02,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,84,3,1,Screen 2,fixation,fixation,334,,,,,0,1,0,,,FALSE,,1,Trial (Noise),i_subj39_f_quito_205.wav,Babble_103.wav,i,5-B,noise,subj39,f,quito,205
14,1.66629E+12,20/10/2022 17:40:03,1.66629E+12,-7,20/10/2022 10:40:02,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,84,3,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj39_f_quito_205.wav,Babble_103.wav,i,5-B,noise,subj39,f,quito,205
15,1.66629E+12,20/10/2022 17:40:03,1.66629E+12,-7,20/10/2022 10:40:02,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,84,3,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj39_f_quito_205.wav,Babble_103.wav,i,5-B,noise,subj39,f,quito,205
16,1.66629E+12,20/10/2022 17:40:03,1.66629E+12,-7,20/10/2022 10:40:02,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,84,3,2,Screen 1,Zone7,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),i_subj39_f_quito_205.wav,Babble_103.wav,i,5-B,noise,subj39,f,quito,205
17,1.66629E+12,20/10/2022 17:40:04,1.66629E+12,-7,20/10/2022 10:40:04,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,84,3,2,Screen 1,Zone4,response_button_text,1260,,,i,1,1,0,0,,,FALSE,,1,Trial (Noise),i_subj39_f_quito_205.wav,Babble_103.wav,i,5-B,noise,subj39,f,quito,205
18,1.66629E+12,20/10/2022 17:40:04,1.66629E+12,-7,20/10/2022 10:40:04,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,49,4,1,Screen 2,fixation,fixation,367,,,,,0,1,0,,,FALSE,,1,Trial (Noise),e_subj1_m_veto_316.wav,Babble_062.wav,e,5-B,noise,subj1,m,veto,316
19,1.66629E+12,20/10/2022 17:40:04,1.66629E+12,-7,20/10/2022 10:40:04,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,49,4,2,Screen 1,Zone6,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),e_subj1_m_veto_316.wav,Babble_062.wav,e,5-B,noise,subj1,m,veto,316
20,1.66629E+12,20/10/2022 17:40:04,1.66629E+12,-7,20/10/2022 10:40:04,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,49,4,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),e_subj1_m_veto_316.wav,Babble_062.wav,e,5-B,noise,subj1,m,veto,316
21,1.66629E+12,20/10/2022 17:40:04,1.66629E+12,-7,20/10/2022 10:40:04,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,49,4,2,Screen 1,Zone7,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,FALSE,,1,Trial (Noise),e_subj1_m_veto_316.wav,Babble_062.wav,e,5-B,noise,subj1,m,veto,316
22,1.66629E+12,20/10/2022 17:40:05,1.66629E+12,-7,20/10/2022 10:40:05,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,49,4,2,Screen 1,Zone5,response_button_text,1328,,,e,1,1,0,0,,,FALSE,,1,Trial (Noise),e_subj1_m_veto_316.wav,Babble_062.wav,e,5-B,noise,subj1,m,veto,316
23,1.66629E+12,20/10/2022 17:40:06,1.66629E+12,-7,20/10/2022 10:40:06,92237,16,task-qzp9,,24720193,,7297344,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,2560x1440,960x909,,Audio Naming Task,20,Block 5-B,soundCheckPassed,5-B,5-B,67,5,1,Screen 2,fixation,fixation,400,,,,,0,1,0,,,FALSE,,1,Trial (Noise),e_subj2_f_seso_185.wav,Babble_012.wav,e,5-B,noise,subj2,f,seso,185
