Filename,Subject,Vowel,F1_50,Z_F1_50,F2_50,Z_F2_50,F3_50,Z_F3_50,F4,Z_F4
e_subj21_f_seso_35,subj21,e,740.8453749262508,2.7711185332229427,1680.7230843504512,-2.7242756909518087,2892.4503053400563,1.7261641699258503,4192.750892417186,0.4807134901278669
i_subj9_m_quita_357,subj9,i,345.2342694480465,2.7635582267296543,1556.8540768361524,-3.530603871198373,2404.243066318484,-2.0424080715661805,3061.180079988889,-3.3077363720098854
a_subj41_f_beta_125,subj41,a,630.7771082554468,-3.3969603487730025,1845.8477121061792,2.871556784375079,2877.4383535317866,2.7576970156878877,3956.430051358023,-0.4511925677268187
o_subj43_f_bota_40,subj43,o,230.66147569116447,-3.273313633600598,2729.625911638408,3.5816883779850754,4373.29523579906,3.2692509641349767,6024.315857157982,3.66803729821666
i_subj56_m_quite_181,subj56,i,2159.523739190238,3.6109426883851374,2160.572760355946,-1.562922078691651,2153.7584403414544,-2.9901854777584225,2140.056999762673,-3.5109154324973115
i_subj10_f_quite_67,subj10,i,543.5165087037245,3.0338634337601564,1335.7445989083828,-2.3636547535036527,1890.959062820663,-2.8004955846434227,2208.6116883050418,-2.79185182590537
