Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,filename,babble,vowel,progress,progress_quiet,group,block,subject,gender,word,token_num
876,1669953375177,02/12/2022 03:56:15,1669953374737,-8,01/12/2022 19:56:14,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,114,175,2,Screen 1,Zone7,content_web_audio,4,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),i_subj73_m_pico_63.wav,Babble_188.wav,i,1,,5-A,noise,subj73,m,pico,63
877,1669953376114,02/12/2022 03:56:16,1669953375869,-8,01/12/2022 19:56:15,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,114,175,2,Screen 1,Zone4,response_button_text,1135,,,i,1,1,0,0,,,,,1,Trial (Noise),i_subj73_m_pico_63.wav,Babble_188.wav,i,1,,5-A,noise,subj73,m,pico,63
878,1669953376446,02/12/2022 03:56:16,1669953376216,-8,01/12/2022 19:56:16,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,141,176,1,Screen 2,fixation,fixation,349.8400000000256,,,,,0,1,0,,,,,1,Trial (Noise),o_subj76_m_toca_161.wav,Babble_104.wav,o,1,,5-A,noise,subj76,m,toca,161
879,1669953376679,02/12/2022 03:56:16,1669953376231,-8,01/12/2022 19:56:16,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,141,176,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj76_m_toca_161.wav,Babble_104.wav,o,1,,5-A,noise,subj76,m,toca,161
880,1669953376679,02/12/2022 03:56:16,1669953376232,-8,01/12/2022 19:56:16,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,141,176,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj76_m_toca_161.wav,Babble_104.wav,o,1,,5-A,noise,subj76,m,toca,161
881,1669953376679,02/12/2022 03:56:16,1669953376233,-8,01/12/2022 19:56:16,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,141,176,2,Screen 1,Zone7,content_web_audio,3,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),o_subj76_m_toca_161.wav,Babble_104.wav,o,1,,5-A,noise,subj76,m,toca,161
882,1669953377640,02/12/2022 03:56:17,1669953377397,-8,01/12/2022 19:56:17,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,141,176,2,Screen 1,Zone3,response_button_text,1167,,,o,1,1,0,0,,,,,1,Trial (Noise),o_subj76_m_toca_161.wav,Babble_104.wav,o,1,,5-A,noise,subj76,m,toca,161
883,1669953377967,02/12/2022 03:56:17,1669953377732,-8,01/12/2022 19:56:17,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,8,177,1,Screen 2,fixation,fixation,349.7600000000093,,,,,0,1,0,,,,,1,Trial (Noise),a_subj18_f_vaso_290.wav,Babble_054.wav,a,1,,5-A,noise,subj18,f,vaso,290
884,1669953378235,02/12/2022 03:56:18,1669953377748,-8,01/12/2022 19:56:17,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,8,177,2,Screen 1,Zone6,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj18_f_vaso_290.wav,Babble_054.wav,a,1,,5-A,noise,subj18,f,vaso,290
885,1669953378235,02/12/2022 03:56:18,1669953377749,-8,01/12/2022 19:56:17,92237,21,task-hjlp,,25622451,BLIND,7588879,,complete,,6389749a6d9f7cf71b19e077,computer,Desktop or Laptop,Windows 10,Firefox 107.0,896x504,896x415,,Audio Naming Task,26,Block 5-A,soundCheckPassed,5-A,5-A,8,177,2,Screen 1,Zone8,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,1,Trial (Noise),a_subj18_f_vaso_290.wav,Babble_054.wav,a,1,,5-A,noise,subj18,f,vaso,290
