Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-vdsq,branch-kcrj,Randomise questionnaire elements?,Question Key,Response
3,1669954877463,02/12/2022 04:21:17,1669954874528,-7,01/12/2022 21:21:14,92237,21,questionnaire-7e5k,,25622541,BLIND,7588899,,complete,,63897d069e711470f1c31868,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,2560x1440,1324x1287,,Consent,6,Block 4-A,soundCheckPassed,No,END QUESTIONNAIRE,4533
1,1669955021427,02/12/2022 04:23:41,1669955021989,-8,01/12/2022 20:23:41,92237,21,questionnaire-7e5k,,25622552,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1707x779,,Consent,6,Block 3-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669955033287,02/12/2022 04:23:53,1669955033890,-8,01/12/2022 20:23:53,92237,21,questionnaire-7e5k,,25622552,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1689x779,,Consent,6,Block 3-B,soundCheckPassed,No,response-1,1
3,1669955033478,02/12/2022 04:23:53,1669955033892,-8,01/12/2022 20:23:53,92237,21,questionnaire-7e5k,,25622552,BLIND,7588902,,complete,,63897dc2614bef2fcf2fc5f7,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1707x960,1689x779,,Consent,6,Block 3-B,soundCheckPassed,No,END QUESTIONNAIRE,11903
1,1669957265622,02/12/2022 05:01:05,1669957265332,-8,01/12/2022 21:01:05,92237,21,questionnaire-7e5k,,25622747,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,949x736,,Consent,6,Block 8-A,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669957310737,02/12/2022 05:01:50,1669957310487,-8,01/12/2022 21:01:50,92237,21,questionnaire-7e5k,,25622747,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,949x736,,Consent,6,Block 8-A,soundCheckPassed,No,response-1,1
3,1669957311064,02/12/2022 05:01:51,1669957310489,-8,01/12/2022 21:01:50,92237,21,questionnaire-7e5k,,25622747,BLIND,7588947,,complete,,63898633e36c0bb684eb488f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,949x736,,Consent,6,Block 8-A,soundCheckPassed,No,END QUESTIONNAIRE,45157
1,1669957170089,02/12/2022 04:59:30,1669957169353,-6,01/12/2022 22:59:29,92237,21,questionnaire-7e5k,,25622732,BLIND,7588945,,complete,,638985c237e7ba36fcc30ee0,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,Consent,6,Block 9-B,soundCheckPassed,No,BEGIN QUESTIONNAIRE,
2,1669957193725,02/12/2022 04:59:53,1669957192742,-6,01/12/2022 22:59:52,92237,21,questionnaire-7e5k,,25622732,BLIND,7588945,,complete,,638985c237e7ba36fcc30ee0,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,,Consent,6,Block 9-B,soundCheckPassed,No,response-1,1
3,1669957193909,02/12/2022 04:59:53,1669957192744,-6,01/12/2022 22:59:52,92237,21,questionnaire-7e5k,,25622732,BLIND,7588945,,complete,,638985c237e7ba36fcc30ee0,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1349x625,,Consent,6,Block 9-B,soundCheckPassed,No,END QUESTIONNAIRE,23391
