Filename,Subject,Vowel,F1_50,Z_F1_50,F2_50,Z_F2_50,F3_50,Z_F3_50,F4,Z_F4
u_subj44_f_supe_180,subj44,u,494.1978728255581,2.360768796107652,3136.1107009319285,2.3475122718459014,4098.575199493537,1.7592371197284116,6252.966343236243,2.8340512635435755
o_subj79_m_voto_143,subj79,o,625.3733173529489,2.6472045836173197,2804.805768477729,3.150017525564881,3446.930046942917,2.530148929088765,5142.759381041358,3.121785847612375
o_subj32_f_voto_303,subj32,o,831.7885479622508,3.0598594752165726,2724.704877689199,3.651049805404331,3710.3991899673465,3.477504169653123,4387.0665968180665,2.599671925548625
u_subj55_m_cura_263,subj55,u,403.7064913967793,1.597657192068359,785.3585486606001,-0.5850001398828123,2856.1410244916483,2.663045659976111,3838.614287078871,2.5765133128421085
a_subj79_m_saque_203,subj79,a,678.9705218400775,-0.6233970469689224,1464.9547809403384,1.737532509368885,3027.81217849725,1.2978577124719584,5239.050352054467,2.7143575772625232
u_subj64_m_supe_300,subj64,u,760.4461008760935,2.570748726448312,2591.5925378742227,1.6811775010146024,3460.197295781354,1.4360242328241966,3978.846537097619,0.7163000898583013
e_subj25_f_seque_147,subj25,e,631.8367433712208,-0.9363139856050986,2247.257560880296,1.1600114308702154,3132.4151300607086,1.510952267093686,4853.931705203475,2.531292792767793
i_subj48_f_quita_176,subj48,i,329.9606147481163,-0.8644835384871903,3082.5060762323146,1.4514961945905371,4044.202452760529,2.051225257702086,5409.904649779677,2.6299884445883963
i_subj58_m_quito_128,subj58,i,376.5385565465094,2.6279362768499634,1750.4351260811611,-0.2749911608469299,2952.855502485059,-0.1165377679474649,3496.714104848913,-0.5901681047888379
a_subj58_m_bate_91,subj58,a,895.4427119387448,1.9070479840040369,2707.780196266303,2.707706260482732,3981.011572430005,2.5192557698481903,5106.818210758423,2.3520035581275613
u_subj9_m_buque_255,subj9,u,585.6141503702274,3.0967667650445403,2913.4602651748446,2.757183753569547,3600.891998850308,1.9540503525936344,4243.917807726588,2.092186719436249
u_subj39_f_supo_209,subj39,u,610.5487218082842,2.0618603230888897,2711.66158329495,2.542747536178388,4325.199148978853,2.088557653888732,4747.338865055104,1.3769937618903405
u_subj36_f_supe_320,subj36,u,549.4977836206074,2.6356144731479803,2604.831505961974,3.575633081638052,4002.9089697399054,2.5783058567879054,4884.6206326633965,1.4411130813250317
i_subj62_m_pico_233,subj62,i,237.82468223392377,-1.2906894555907176,2933.343321216352,1.2273638121572303,3595.516624596216,1.0943395611459403,4875.127515701479,2.7308170724675587
u_subj40_f_supe_69,subj40,u,453.7259984322316,0.9708528268037818,2177.2894425893305,3.390849647255767,3246.669583972945,3.1233937298456835,3658.889957657744,1.2804083757074498
o_subj34_f_bota_321,subj34,o,707.7463261232981,2.032888428753317,3171.891369377861,2.56253821417785,3966.5995996430574,2.356611017935884,5026.495246783039,2.712058151410004
u_subj14_m_cuco_243,subj14,u,562.8489618903089,3.373028219244096,2813.511562493484,2.3370656899435778,3535.1103255759376,2.332667394605876,4587.946816141341,2.2294233850874035
e_subj2_f_beta_178,subj2,e,480.46930527929214,-0.4740635121475897,2314.421691419313,0.5727845194834079,3357.1412773231805,2.585603593398241,4838.864418809274,1.902013451667292
i_subj65_m_quite_229,subj65,i,2335.264547144074,1.934389940502972,3130.706906769328,2.096759704386565,4835.881944746427,2.5612180135262763,6500.8646590596845,2.043672184637852
i_subj21_f_pica_62,subj21,i,375.5214747075333,-0.069330468960685,2763.6253270724205,2.512590786003841,2793.1408506648963,-0.5151678854870866,4005.123918119704,0.3017267353245537
o_subj53_m_bote_92,subj53,o,611.0124863983257,3.03967727639413,3028.2966106258395,3.6975757400865663,3765.461913007018,3.3672699575411986,5122.916220668023,3.562330317945699
u_subj79_m_cuco_284,subj79,u,680.6816760720009,2.726808998141332,3021.451944981065,1.640848002341146,4299.017080989626,1.899810351390181,5668.346942995737,1.5308218610131716
o_subj22_f_bota_226,subj22,o,558.7048428456549,-1.0461673458061,1028.9533937587305,-0.7312336360098423,3653.211986211683,2.364976218887028,4193.272655606259,2.6505852903296496
i_subj74_m_quito_94,subj74,i,2604.9030752672456,1.3770812884289536,3568.8640305935446,1.7743674641442078,5274.610462000173,3.051602454183934,6169.8310981824425,1.8567477426540284
u_subj26_f_cuco_205,subj26,u,408.4330665302277,1.161726198232809,3298.516736735432,3.452189259051332,4240.154838433624,2.6050957797745715,5725.841215130847,2.9331596716366244
i_subj76_m_quito_136,subj76,i,259.62211607693564,-1.022016457615215,2771.846228690906,3.382933920202867,3568.490169142198,2.682295777007138,4080.3138715461823,3.399177631717825
