Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
e_subj78_m_seque_180,subj78,e,160.16914092612097,529.2372810982763,1754.9496374005223,2700.9127397926463,3859.347398413382,0.09985585349962776
o_subj49_f_toque_111,subj49,o,211.7198065731346,481.8575959065366,1230.2472889703415,3243.1622673563616,3808.0811660254703,0.07919922525665299
e_subj41_f_seca_102,subj41,e,194.9424321838692,572.6700050594401,1926.1123915273315,2698.7070818172424,4154.399026676413,0.0933401939338637
u_subj64_m_cura_236,subj64,u,136.07218714429763,343.10440033750217,681.6936652568617,2265.954134494739,2956.077969451149,0.1367879005835789
a_subj36_f_baso_279,subj36,a,249.20950176006045,863.3334556457125,1494.2027132756025,2794.026181649156,4439.381184777097,0.19342263227852077
i_subj19_f_pite_162,subj19,i,194.32626665641385,367.0380563480716,2577.508343553639,3146.907631959259,4135.589401477919,0.13193046504459857
i_subj47_f_pite_197,subj47,i,244.54870233273564,381.1833887039248,2735.3008756056806,3021.5719360223648,4368.721653710544,0.0957638640606376
i_subj33_f_pica_84,subj33,i,219.2044646817401,402.0566863576025,2486.7564858103924,2999.269921145852,4061.4420768404816,0.12245227098611051
u_subj6_f_cuco_243,subj6,u,208.87409443046516,408.5691805835155,1043.2342954523458,2778.414924639264,4009.2311945441097,0.15377938830843052
o_subj43_f_voto_277,subj43,o,226.3413794954416,527.520998208162,1101.25299708238,3299.6227710161784,3926.871942525096,0.14864689706674883
e_subj32_f_peca_156,subj32,e,235.71226697536804,594.5524413737006,2149.956186094279,2843.9925606868346,3932.744859423908,0.12665099179289427
u_subj75_m_supo_263,subj75,u,133.71620624155338,378.8074360462011,917.4525958163694,2433.0020940797936,3089.8623914295476,0.12054762635912084
e_subj81_m_veto_269,subj81,e,103.31112391485613,440.8566875175741,1906.143803507609,2597.6626170878344,2927.0499733702686,0.13518822949068862
e_subj66_m_seso_133,subj66,e,100.7049416233218,416.3331355635113,1776.1235682905444,2547.840688299954,3469.338939246006,0.10766746690406988
i_subj56_m_viso_62,subj56,i,110.32399807714272,334.68121897488925,2203.3917592981097,2724.01760719815,3335.347970767066,0.11335318554571358
o_subj67_m_bota_54,subj67,o,114.81266029778156,434.53646189177147,919.1716633028312,2634.037694145634,3082.2556213121343,0.1304153504817279
i_subj1_m_quite_114,subj1,i,112.90578721129832,289.49457125860897,2478.17806545568,3199.7544947111687,4186.839814290904,0.0756255268741711
o_subj24_m_toque_90,subj24,o,122.9971494185052,494.1261754564627,959.7130526938452,2180.989733778113,2788.0128895383923,0.11902341254833856
o_subj32_f_voto_129,subj32,o,197.1714100336665,548.833255552225,993.7625127658824,2805.076684185322,3371.347796978528,0.12976061007838666
a_subj10_f_bata_126,subj10,a,201.47353730924124,921.7824302979412,1601.406424146351,3124.317791996216,4279.075036496908,0.12100934552781836
u_subj44_f_supe_180,subj44,u,223.7952055131754,263.877806013193,455.3560324534361,893.2457597166292,1615.9936237229974,0.11692988643573583
i_subj26_f_quita_62,subj26,i,196.13788349148032,346.13183795116794,2705.8067681895477,3284.6829908369305,4095.849607261436,0.10934362452059218
u_subj18_f_puso_81,subj18,u,227.49979282716197,443.952221947722,942.7197082785932,2736.7233473925967,3993.631921055524,0.16543898248986866
u_subj17_f_supe_267,subj17,u,255.8638599774479,501.2983316024605,1417.63639829957,2893.175807782583,3872.501238470633,0.09736458803356526
a_subj53_m_saque_48,subj53,a,108.73963068519348,774.2036533235364,1362.08596086869,2589.892552757667,3762.147413045067,0.09031540985470483
i_subj40_f_pico_44,subj40,i,219.12730097383545,344.3183322150026,2154.0921514108054,2662.7911291562555,3502.586342270605,0.08862357367471105
o_subj81_m_voto_236,subj81,o,105.13710501944615,426.0871574717188,767.5762909851452,2750.6679010669563,3161.484862380044,0.12567495741353127
u_subj3_m_pura_183,subj3,u,137.00792790202038,381.3347615156026,837.1649831551969,2662.314710438627,3334.07584956263,0.14877909598905037
a_subj50_f_saque_249,subj50,a,180.417928695844,328.97982615598306,801.6609598456558,1189.8583582678928,1718.3798078538728,0.12965040295221683
a_subj13_f_bate_90,subj13,a,215.52636983362527,817.8049399202143,1603.714651565557,2904.4861189573903,3864.704704114464,0.16426235385079624
u_subj69_m_supe_58,subj69,u,154.3474554109123,351.4151433705832,1047.3755471278153,2401.6588091240096,3726.893846900909,0.09092099598162803
o_subj48_f_cosa_159,subj48,o,210.4133391119832,502.01905631589034,1041.4304421956574,2997.179477707391,3860.011976701112,0.15357777013744
e_subj81_m_peca_261,subj81,e,101.23384975396095,454.2395173991004,2036.3142871728649,2651.4664450958003,3340.141778486943,0.11664109942952336
i_subj54_m_quite_251,subj54,i,88.06225656519622,307.60814353387417,2552.4678725622603,3170.6108886968436,3887.914856343159,0.10179938913011596
u_subj49_f_cuco_300,subj49,u,216.3124543825713,406.44900147753975,846.2285134873638,3004.6320950966933,3962.939794025489,0.12340681379193938
u_subj53_m_buque_56,subj53,u,120.7990565934077,275.6053755678264,761.2788096731421,1645.995986706061,2415.0574468174996,0.13248274897910192
a_subj32_f_saque_205,subj32,a,196.53412022853615,682.9542091709321,969.6646127573246,1547.008869099917,1927.9892726253563,0.15624055919053037
o_subj64_m_toca_123,subj64,o,124.760941906452,465.31390371565783,957.755319602342,2381.5643656244597,2980.189209138653,0.121587214896104
i_subj18_f_viso_341,subj18,i,223.08557858287048,255.81032353172395,464.4406211713607,1654.3175629555055,2381.8812358775212,0.18621179324858303
o_subj68_m_toca_143,subj68,o,138.56507577507574,570.0686055304474,983.714561386638,2662.1617503809507,3294.703241430567,0.1259151430617976
i_subj26_f_pica_227,subj26,i,103.29224331555623,379.27661699071245,2580.6776273080827,3042.699136678814,3991.726559349616,0.11354574767454435
a_subj55_m_vara_59,subj55,a,109.93047927464056,711.0556594544478,1367.2636175941575,3045.09269731105,3697.430849280268,0.1477095225767343
o_subj51_f_cosa_139,subj51,o,225.1873915043311,507.9518879075041,1019.9516182289614,3043.271073821829,3911.645996909914,0.13439165158967512
e_subj49_f_peca_333,subj49,e,222.12637248307513,556.9904836605244,2060.7774008524875,3059.6087009732923,3952.170570631162,0.13263485352185853
a_subj75_m_saco_257,subj75,a,111.72449089733446,773.7487808761143,1273.3399331230266,2514.5032122622765,3398.78438478024,0.1503248171809105
o_subj79_m_voto_143,subj79,o,100.61668944795012,513.3150729224078,904.3991022379256,2797.1180780106324,3089.731842765683,0.07876512765747065
i_subj37_f_pite_150,subj37,i,221.10208164200455,403.6367933151854,2877.382314704016,3332.4662344943786,4393.817022635518,0.1271709062309526
e_subj81_m_beta_70,subj81,e,85.62415775513035,395.7659985833597,1938.3088087626463,2655.1864404586668,3326.624211651951,0.12944254922325055
e_subj6_f_seso_174,subj6,e,217.98325694414856,613.0134432921506,2280.7496231452083,3174.3992729546235,4323.203970081987,0.17979764616131322
u_subj35_f_supe_66,subj35,u,240.409039440512,279.3806843051616,490.55673328762134,1069.515331264893,1814.1400770681048,0.11511622009398934
e_subj24_m_veto_148,subj24,e,130.9133354897914,516.1269532579427,1825.6432916024912,2516.22676566695,3393.314397784862,0.15317759842030798
u_subj41_f_pura_198,subj41,u,213.06866529423465,422.49688425933334,948.3744784480294,2691.690806488956,3915.146429365466,0.11874993659179152
i_subj49_f_pite_230,subj49,i,218.50546388802704,338.14131600348037,2825.1395376147716,3330.046550978176,4158.088643557517,0.12912898778488963
a_subj41_f_vato_108,subj41,a,165.17804537497375,882.3839948055448,1453.1262930967805,2430.881577435855,4045.6899313664153,0.12968865998475962
o_subj32_f_voto_303,subj32,o,248.9655617530664,658.3197428878003,1014.3163462836712,2744.337996178991,3640.955599697884,0.1342352845527671
u_subj17_f_tusa_94,subj17,u,249.7979464071279,408.3137310733825,1506.5014438534015,2833.1648693170832,3653.7773214943304,0.1121166802224934
a_subj17_f_vara_253,subj17,a,205.59144377043583,957.1875294170296,1603.1308821349926,3050.401891846643,4090.443965226357,0.1873002353740049
e_subj71_m_beta_305,subj71,e,127.06655323671627,485.12781746222333,1886.6546480652407,2576.430319275463,3606.4926559435576,0.15904066789809124
