Subject,Gender,Vowel,Max_Formant
subj33,f,e,6157.894736842105
subj9,m,e,4473.684210526316
subj39,f,a,6789.473684210527
subj75,m,e,5526.315789473684
subj13,f,o,4684.210526315789
subj81,m,u,3000.0
subj58,m,i,5947.368421052632
subj71,m,i,5526.315789473684
subj55,m,o,4052.6315789473683
subj66,m,a,4263.157894736842
subj34,f,u,5315.78947368421
subj49,f,u,5526.315789473684
subj4,f,u,5736.842105263158
subj52,m,e,5526.315789473684
subj30,f,a,6368.421052631578
subj38,f,o,5526.315789473684
subj44,f,a,7000.0
subj47,f,i,5105.263157894737
subj10,f,i,5315.78947368421
subj69,m,a,5315.78947368421
subj47,f,u,4473.684210526316
subj35,f,u,5105.263157894737
subj22,f,a,5105.263157894737
subj68,m,e,5526.315789473684
subj21,f,i,5736.842105263158
subj37,f,u,5526.315789473684
subj42,f,u,7000.0
subj10,f,u,5947.368421052632
subj3,m,u,4684.210526315789
subj17,f,a,5315.78947368421
subj65,m,i,4684.210526315789
subj70,m,u,3000.0
subj69,m,i,7000.0
subj74,m,o,4052.6315789473683
subj54,m,a,5947.368421052632
subj44,f,i,5736.842105263158
subj7,f,u,3000.0
subj75,m,o,3421.0526315789475
subj33,f,a,5736.842105263158
subj63,m,u,4473.684210526316
subj23,f,u,6368.421052631578
subj16,f,e,7000.0
subj72,m,u,4894.736842105263
subj52,m,e,5526.315789473684
subj13,f,e,5315.78947368421
subj37,f,i,5736.842105263158
subj62,m,o,4263.157894736842
subj78,m,o,3631.578947368421
subj39,f,e,6157.894736842105
subj37,f,u,5736.842105263158
subj21,f,e,5736.842105263158
subj70,m,o,3842.1052631578946
subj43,f,o,5947.368421052632
subj42,f,e,5947.368421052632
subj59,m,e,3631.578947368421
subj10,f,u,5736.842105263158
subj65,m,a,5526.315789473684
subj48,f,i,5736.842105263158
subj29,m,e,4894.736842105263
subj5,f,o,5315.78947368421
subj66,m,e,4263.157894736842
subj18,f,u,5315.78947368421
subj60,m,a,4052.6315789473683
subj48,f,a,3842.1052631578946
subj15,m,i,4263.157894736842
subj29,m,i,4684.210526315789
subj61,m,a,5315.78947368421
subj58,m,o,4473.684210526316
subj55,m,o,4894.736842105263
subj36,f,i,6157.894736842105
subj73,m,e,4263.157894736842
subj26,f,a,6578.9473684210525
subj54,m,i,5105.263157894737
subj18,f,i,6368.421052631578
subj11,m,a,4473.684210526316
subj15,m,u,4052.6315789473683
subj16,f,u,5526.315789473684
subj66,m,i,5526.315789473684
subj4,f,e,7000.0
subj13,f,i,5105.263157894737
subj25,f,u,5736.842105263158
subj42,f,o,5526.315789473684
subj78,m,i,4473.684210526316
subj45,f,e,5526.315789473684
subj65,m,e,5105.263157894737
subj24,m,e,4473.684210526316
subj48,f,o,5526.315789473684
subj60,m,u,4263.157894736842
subj44,f,a,5736.842105263158
subj67,m,a,5105.263157894737
subj4,f,a,6578.9473684210525
subj20,m,o,4684.210526315789
subj49,f,o,5526.315789473684
subj71,m,u,4894.736842105263
subj64,m,i,3631.578947368421
subj24,m,u,4052.6315789473683
subj44,f,o,5736.842105263158
subj54,m,e,5105.263157894737
subj81,m,u,3631.578947368421
subj59,m,e,4473.684210526316
subj14,m,e,4263.157894736842
subj45,f,a,6157.894736842105
subj25,f,u,5526.315789473684
subj14,m,a,4894.736842105263
subj28,f,o,5105.263157894737
subj30,f,u,5315.78947368421
subj28,f,a,3000.0
subj35,f,u,6157.894736842105
subj68,m,o,4894.736842105263
subj67,m,u,5315.78947368421
subj16,f,a,6789.473684210527
subj51,f,a,5315.78947368421
subj46,f,a,6157.894736842105
subj81,m,u,4473.684210526316
subj65,m,i,7000.0
subj43,f,i,6368.421052631578
subj35,f,o,5315.78947368421
subj9,m,a,4894.736842105263
subj63,m,a,4473.684210526316
subj44,f,u,5315.78947368421
subj35,f,o,5315.78947368421
subj44,f,u,3842.1052631578946
subj46,f,o,4684.210526315789
subj29,m,o,4684.210526315789
subj64,m,u,3631.578947368421
subj72,m,o,3631.578947368421
subj25,f,i,5105.263157894737
subj48,f,i,7000.0
subj47,f,o,4263.157894736842
subj58,m,a,3842.1052631578946
subj34,f,i,6578.9473684210525
subj23,f,u,5736.842105263158
subj38,f,a,6157.894736842105
subj6,f,a,6368.421052631578
subj62,m,o,4263.157894736842
subj77,m,a,5315.78947368421
subj25,f,a,6157.894736842105
subj11,m,i,5736.842105263158
subj52,m,o,4684.210526315789
subj41,f,u,3210.5263157894738
subj78,m,a,5736.842105263158
subj72,m,o,4473.684210526316
subj57,m,o,4473.684210526316
subj81,m,u,4052.6315789473683
subj27,f,e,6368.421052631578
subj37,f,o,5526.315789473684
subj49,f,i,5315.78947368421
subj1,m,u,5315.78947368421
subj45,f,a,6368.421052631578
subj41,f,a,5736.842105263158
subj74,m,u,4684.210526315789
subj25,f,u,5736.842105263158
subj6,f,o,5526.315789473684
subj43,f,a,6368.421052631578
subj10,f,i,5736.842105263158
subj27,f,a,6578.9473684210525
subj31,m,a,4052.6315789473683
subj70,m,i,3842.1052631578946
subj53,m,o,4052.6315789473683
subj10,f,u,4684.210526315789
subj32,f,a,5526.315789473684
subj71,m,a,5105.263157894737
subj67,m,e,6368.421052631578
subj75,m,u,3631.578947368421
subj22,f,u,5526.315789473684
subj13,f,i,4894.736842105263
subj19,f,u,4473.684210526316
subj40,f,u,4894.736842105263
subj63,m,u,7000.0
subj4,f,o,5526.315789473684
subj4,f,e,5526.315789473684
subj32,f,a,6368.421052631578
subj37,f,a,5315.78947368421
subj16,f,e,6789.473684210527
subj77,m,o,4263.157894736842
subj33,f,a,6157.894736842105
subj68,m,a,5526.315789473684
subj74,m,u,3421.0526315789475
subj27,f,u,3421.0526315789475
subj60,m,u,3000.0
subj5,f,o,5315.78947368421
subj26,f,i,5736.842105263158
subj74,m,u,6578.9473684210525
subj38,f,o,5736.842105263158
subj26,f,a,5947.368421052632
subj75,m,o,4263.157894736842
subj38,f,o,5947.368421052632
subj34,f,a,6789.473684210527
subj49,f,i,5105.263157894737
subj65,m,u,4473.684210526316
subj73,m,u,3842.1052631578946
subj77,m,i,4473.684210526316
subj29,m,e,5105.263157894737
subj8,f,a,5736.842105263158
subj22,f,e,6368.421052631578
subj29,m,o,4052.6315789473683
subj23,f,a,6578.9473684210525
subj26,f,i,5315.78947368421
subj32,f,e,5526.315789473684
subj42,f,a,5526.315789473684
subj55,m,u,4684.210526315789
subj13,f,i,5736.842105263158
subj19,f,a,6368.421052631578
subj14,m,o,4263.157894736842
subj38,f,a,6368.421052631578
subj39,f,i,5105.263157894737
subj45,f,u,5105.263157894737
subj47,f,a,4473.684210526316
subj62,m,e,4684.210526315789
subj31,m,u,4684.210526315789
subj21,f,o,5526.315789473684
subj38,f,e,5947.368421052632
subj81,m,i,4684.210526315789
subj13,f,a,6368.421052631578
subj48,f,a,6578.9473684210525
subj21,f,u,4894.736842105263
subj67,m,a,5736.842105263158
subj79,m,i,6578.9473684210525
subj55,m,o,3842.1052631578946
subj40,f,o,5105.263157894737
subj11,m,a,5526.315789473684
subj72,m,e,6157.894736842105
subj8,f,o,5315.78947368421
subj1,m,i,4684.210526315789
subj81,m,a,3842.1052631578946
subj34,f,o,5315.78947368421
subj17,f,a,6157.894736842105
subj27,f,o,5736.842105263158
subj62,m,o,4684.210526315789
subj21,f,i,6157.894736842105
subj8,f,o,5736.842105263158
subj51,f,i,5526.315789473684
subj9,m,a,5105.263157894737
subj81,m,e,5315.78947368421
subj73,m,u,5526.315789473684
subj16,f,a,6578.9473684210525
subj35,f,o,5526.315789473684
subj52,m,u,3000.0
subj27,f,e,6578.9473684210525
subj39,f,a,5315.78947368421
subj55,m,i,5105.263157894737
subj32,f,i,5526.315789473684
subj53,m,i,4263.157894736842
subj12,f,i,5105.263157894737
subj12,f,e,6368.421052631578
subj12,f,i,4894.736842105263
subj4,f,u,5947.368421052632
subj3,m,e,5105.263157894737
subj36,f,u,5526.315789473684
subj65,m,e,4684.210526315789
subj32,f,i,5736.842105263158
subj71,m,i,5105.263157894737
subj57,m,o,4263.157894736842
subj60,m,u,4473.684210526316
subj61,m,i,5105.263157894737
subj69,m,i,6157.894736842105
subj33,f,o,5736.842105263158
subj43,f,a,7000.0
subj10,f,i,4263.157894736842
subj57,m,u,4263.157894736842
subj9,m,u,4684.210526315789
subj6,f,a,6157.894736842105
subj69,m,a,4894.736842105263
subj31,m,o,4684.210526315789
subj49,f,i,5315.78947368421
subj2,f,i,6578.9473684210525
subj53,m,a,4052.6315789473683
subj59,m,o,3631.578947368421
subj39,f,o,4684.210526315789
subj31,m,u,4894.736842105263
subj46,f,o,5736.842105263158
subj46,f,i,5315.78947368421
subj6,f,e,4894.736842105263
subj31,m,i,4894.736842105263
subj8,f,i,6368.421052631578
subj12,f,i,6578.9473684210525
subj15,m,u,4473.684210526316
subj56,m,o,3631.578947368421
subj61,m,a,5526.315789473684
subj39,f,i,6157.894736842105
subj42,f,i,5947.368421052632
subj27,f,e,6789.473684210527
subj53,m,e,4894.736842105263
subj47,f,e,5947.368421052632
subj29,m,e,4684.210526315789
subj45,f,u,4894.736842105263
subj23,f,i,6578.9473684210525
subj23,f,e,6578.9473684210525
subj64,m,u,3842.1052631578946
subj34,f,o,5105.263157894737
subj22,f,u,5105.263157894737
subj7,f,i,6368.421052631578
subj81,m,a,4473.684210526316
subj73,m,o,3842.1052631578946
subj9,m,u,4263.157894736842
subj15,m,o,4894.736842105263
subj55,m,i,4684.210526315789
subj17,f,a,6578.9473684210525
subj62,m,e,4263.157894736842
subj21,f,e,5105.263157894737
subj5,f,e,4684.210526315789
subj38,f,u,5315.78947368421
subj12,f,o,4473.684210526316
subj19,f,i,6368.421052631578
subj44,f,a,5526.315789473684
subj11,m,o,4473.684210526316
subj32,f,i,5736.842105263158
subj80,m,e,4263.157894736842
subj28,f,a,3000.0
subj50,f,a,6368.421052631578
subj23,f,i,6157.894736842105
subj32,f,o,4684.210526315789
subj73,m,a,4473.684210526316
subj30,f,u,3631.578947368421
subj78,m,o,5105.263157894737
subj20,m,e,4894.736842105263
subj41,f,i,6578.9473684210525
subj19,f,o,5105.263157894737
subj4,f,i,5315.78947368421
subj38,f,o,5736.842105263158
subj15,m,e,5526.315789473684
subj24,m,a,5736.842105263158
subj67,m,o,5315.78947368421
subj32,f,a,4894.736842105263
subj31,m,o,5315.78947368421
subj20,m,u,4052.6315789473683
subj10,f,u,5105.263157894737
subj53,m,o,4684.210526315789
subj59,m,u,4473.684210526316
subj7,f,u,4473.684210526316
subj78,m,u,4894.736842105263
subj1,m,i,4684.210526315789
subj73,m,o,5105.263157894737
subj76,m,u,4684.210526315789
subj55,m,i,5736.842105263158
subj34,f,o,5315.78947368421
subj77,m,i,5526.315789473684
subj8,f,i,5105.263157894737
subj39,f,e,7000.0
subj37,f,i,5736.842105263158
subj76,m,a,5315.78947368421
subj3,m,i,5947.368421052632
subj73,m,a,4473.684210526316
subj8,f,u,5315.78947368421
subj46,f,o,5315.78947368421
subj72,m,i,6789.473684210527
subj41,f,u,3421.0526315789475
subj66,m,u,3421.0526315789475
subj21,f,e,4684.210526315789
subj12,f,a,4894.736842105263
subj54,m,a,5736.842105263158
subj13,f,o,5105.263157894737
subj57,m,i,4684.210526315789
subj46,f,i,6578.9473684210525
subj44,f,o,5736.842105263158
subj54,m,o,4684.210526315789
subj56,m,i,4052.6315789473683
subj54,m,o,4263.157894736842
subj46,f,i,5105.263157894737
subj69,m,e,5526.315789473684
subj62,m,a,4684.210526315789
subj74,m,i,5526.315789473684
subj28,f,o,4684.210526315789
subj25,f,o,5315.78947368421
subj54,m,u,4473.684210526316
subj70,m,o,4263.157894736842
subj7,f,e,5736.842105263158
subj28,f,e,5526.315789473684
subj25,f,e,5105.263157894737
subj34,f,a,5736.842105263158
subj21,f,i,5526.315789473684
subj62,m,e,4684.210526315789
subj29,m,u,4894.736842105263
subj36,f,o,5105.263157894737
subj44,f,a,5736.842105263158
subj17,f,e,6368.421052631578
subj25,f,i,6368.421052631578
subj70,m,u,3842.1052631578946
subj66,m,o,6789.473684210527
subj35,f,e,5947.368421052632
subj72,m,o,4894.736842105263
subj80,m,a,4894.736842105263
subj45,f,o,5315.78947368421
subj32,f,a,5526.315789473684
subj39,f,o,5526.315789473684
subj72,m,a,5526.315789473684
subj58,m,a,4473.684210526316
subj65,m,e,4263.157894736842
subj46,f,u,5105.263157894737
subj10,f,i,5526.315789473684
subj73,m,o,4052.6315789473683
subj2,f,a,4894.736842105263
subj19,f,i,5736.842105263158
subj54,m,o,4473.684210526316
subj55,m,u,4684.210526315789
subj19,f,a,6157.894736842105
subj61,m,a,4894.736842105263
subj81,m,o,3631.578947368421
subj61,m,u,4684.210526315789
subj61,m,e,4263.157894736842
subj3,m,o,4894.736842105263
subj3,m,u,4894.736842105263
subj52,m,e,5315.78947368421
subj71,m,u,4894.736842105263
subj76,m,i,4263.157894736842
subj34,f,e,5947.368421052632
subj10,f,o,5947.368421052632
subj56,m,o,4052.6315789473683
subj79,m,o,4052.6315789473683
subj69,m,u,4473.684210526316
subj65,m,o,5105.263157894737
subj8,f,a,5736.842105263158
subj2,f,i,6578.9473684210525
subj81,m,o,4263.157894736842
subj32,f,u,5315.78947368421
subj32,f,o,5105.263157894737
subj47,f,a,4684.210526315789
subj15,m,u,4894.736842105263
subj73,m,e,4684.210526315789
subj68,m,u,4473.684210526316
subj8,f,e,6157.894736842105
subj1,m,a,4684.210526315789
subj8,f,i,7000.0
subj42,f,a,6157.894736842105
subj15,m,e,5526.315789473684
subj69,m,u,4052.6315789473683
subj22,f,a,5315.78947368421
subj52,m,e,4894.736842105263
subj39,f,e,6368.421052631578
subj28,f,o,3842.1052631578946
subj48,f,a,3842.1052631578946
subj7,f,o,5526.315789473684
subj19,f,e,6157.894736842105
subj67,m,u,4894.736842105263
subj5,f,o,5526.315789473684
subj20,m,a,5526.315789473684
subj66,m,i,4263.157894736842
subj36,f,a,3210.5263157894738
subj78,m,a,5526.315789473684
subj11,m,u,4263.157894736842
subj30,f,e,6157.894736842105
subj63,m,a,4473.684210526316
subj66,m,e,4052.6315789473683
subj79,m,e,5315.78947368421
subj5,f,o,4684.210526315789
subj44,f,o,5947.368421052632
subj48,f,a,3631.578947368421
subj1,m,o,4473.684210526316
subj19,f,i,6157.894736842105
subj45,f,a,5315.78947368421
subj20,m,u,4052.6315789473683
subj6,f,i,5315.78947368421
subj23,f,i,4894.736842105263
subj8,f,o,4894.736842105263
subj39,f,u,5526.315789473684
subj23,f,o,5736.842105263158
subj44,f,i,6157.894736842105
subj58,m,a,4263.157894736842
subj50,f,u,5526.315789473684
subj11,m,e,4684.210526315789
subj40,f,e,5947.368421052632
subj35,f,a,5736.842105263158
subj60,m,u,4473.684210526316
subj1,m,e,4684.210526315789
subj73,m,a,4473.684210526316
subj81,m,a,4052.6315789473683
subj45,f,o,5105.263157894737
subj8,f,o,4894.736842105263
subj3,m,a,5526.315789473684
subj75,m,a,4894.736842105263
subj11,m,o,4473.684210526316
subj4,f,a,5526.315789473684
subj51,f,a,3210.5263157894738
subj12,f,o,5105.263157894737
subj16,f,o,5947.368421052632
subj7,f,e,6157.894736842105
subj28,f,i,5736.842105263158
subj57,m,u,4052.6315789473683
subj76,m,i,5526.315789473684
subj21,f,e,4894.736842105263
subj46,f,i,6157.894736842105
subj12,f,a,4684.210526315789
subj13,f,u,5105.263157894737
subj48,f,u,5947.368421052632
subj2,f,o,5315.78947368421
subj74,m,a,5315.78947368421
subj26,f,i,5526.315789473684
subj72,m,o,4473.684210526316
subj26,f,u,4052.6315789473683
subj10,f,u,4894.736842105263
subj11,m,i,4894.736842105263
subj59,m,o,4052.6315789473683
subj31,m,e,4263.157894736842
subj46,f,o,4684.210526315789
subj46,f,e,6157.894736842105
subj52,m,u,3210.5263157894738
subj41,f,i,6157.894736842105
subj53,m,i,4894.736842105263
subj14,m,o,4473.684210526316
subj64,m,o,4473.684210526316
subj45,f,e,6789.473684210527
subj71,m,i,4052.6315789473683
subj67,m,a,4894.736842105263
subj13,f,i,5736.842105263158
subj61,m,o,4473.684210526316
subj36,f,u,4894.736842105263
subj33,f,o,5526.315789473684
subj27,f,i,6368.421052631578
subj66,m,e,3421.0526315789475
subj6,f,u,5526.315789473684
subj35,f,a,6157.894736842105
subj78,m,a,5947.368421052632
subj14,m,e,4684.210526315789
subj1,m,u,5315.78947368421
subj21,f,o,5315.78947368421
subj75,m,a,3210.5263157894738
subj60,m,a,4263.157894736842
subj46,f,o,5105.263157894737
subj61,m,i,4473.684210526316
subj13,f,i,5526.315789473684
subj52,m,a,4052.6315789473683
subj12,f,e,5105.263157894737
subj8,f,o,5105.263157894737
subj16,f,i,6368.421052631578
subj17,f,i,3000.0
subj63,m,i,5105.263157894737
subj18,f,o,5105.263157894737
subj58,m,a,4473.684210526316
subj39,f,a,5315.78947368421
subj36,f,i,6157.894736842105
