Filename,Min,Max
i_subj12_f_pite_50,5000,7000
a_subj13_f_saque_117,6000,7000
i_subj13_f_quite_97,3500,7000
i_subj14_m_viso_140,3000,7000
e_subj15_m_seca_157,5500,7000
e_subj16_f_seco_278,5000,7000
i_subj16_f_quito_151,4000,7000
o_subj16_f_toco_169,4000,7000
u_subj16_f_puso_309,4000,7000
a_subj17_f_baso_173,3500,7000
e_subj17_f_seca_265,4500,7000
e_subj17_f_bota_142,4500,7000
o_subj17_f_bota_242,4000,7000
u_subj17_f_supo_115,4500,7000
a_subj18_f_vara_184,4500,7000
i_subj18_f_pisa_207,4000,7000
e_subj19_f_seso_116,5000,7000
i_subj19_f_pica_250,5500,7000
u_subj19_f_buque_52,4500,7000
i_subj21_f_pisa_141,6000,7000
a_subj22_f_saco_55,5000,7000
e_subj22_f_seso_189,4500,7000
e_subj22_f_peca_152,3500,7000
i_subj22_f_viso_212,4000,7000
u_subj22_f_buque_161,5500,7000
a_subj23_f_baso_230,4500,7000
e_subj23_f_vete_75,5500,7000
o_subj23_f_voto_62,6000,7000
a_subj24_m_saque_102,3000,7000
i_subj24_m_quite_71,6000,7000
a_subj25_f_saque_261,4500,7000
o_subj25_f_toque_273,4000,7000
o_subj25_f_toca_253,3000,7000
a_subj26_f_saque_81,5000,7000
a_subj27_f_vato_250,6000,7000
e_subj29_m_seco_119,5500,7000
o_subj29_m_toca_137,4500,7000
u_subj29_m_supo_55,4000,7000
a_subj3_m_saco_204,5500,7000
i_subj30_f_pica_44,5000,7000
e_subj31_m_seque_186,3000,7000
u_subj31_m_buque_310,4000,7000
i_subj32_f_pite_226,3500,7000
i_subj33_f_pite_113,5000,7000
o_subj33_f_toco_225,4500,7000
a_subj35_f_vara_284,3500,7000
o_subj35_f_toco_46,3500,7000
u_subj35_f_cura_70,4500,7000
a_subj36_f_saque_146,3500,7000
u_subj36_f_supo_235,5000,7000
i_subj37_f_pite_236,5500,7000
e_subj38_f_seso_285,4500,7000
i_subj38_f_quito_232,4500,7000
a_subj4_f_saco_260,4500,7000
i_subj4_f_pite_268,4500,7000
i_subj4_f_quito_241,3000,7000
a_subj41_f_vara_50,3000,7000
i_subj41_f_quite_73,5500,7000
a_subj42_f_bate_306,5500,7000
e_subj42_f_vete_165,5500,7000
a_subj43_f_vato_60,3500,7000
i_subj43_f_pica_297,6000,7000
a_subj44_f_saco_231,6000,7000
o_subj44_f_toco_48,5000,7000
e_subj45_f_vete_121,4500,7000
i_subj45_f_quito_167,6000,7000
o_subj45_f_toca_210,3500,7000
a_subj46_f_baso_139,3000,7000
i_subj47_f_quite_224,4000,7000
o_subj48_f_toca_124,6000,7000
o_subj49_f_toco_233,6000,7000
a_subj5_f_saco_127,5500,7000
i_subj5_f_viso_121,4000,7000
i_subj5_f_quite_67,5500,7000
o_subj5_f_bote_93,4500,7000
u_subj5_f_cuco_105,5000,7000
a_subj50_f_saque_77,4000,7000
e_subj50_f_seca_112,6000,7000
i_subj50_f_quito_131,6000,7000
e_subj51_f_veto_273,3500,7000
o_subj51_f_coro_267,5000,7000
u_subj53_m_buque_56,3000,7000
e_subj55_m_seco_83,6000,7000
u_subj56_m_buque_155,4000,7000
a_subj57_m_bata_134,4000,7000
u_subj57_m_puso_140,4000,7000
e_subj58_m_peca_89,5000,7000
o_subj58_m_bote_104,3000,7000
e_subj59_m_bota_101,3000,7000
i_subj59_m_quito_276,5000,7000
u_subj6_f_supo_216,5500,7000
u_subj6_f_cura_35,3000,7000
e_subj61_m_bota_117,5500,7000
a_subj62_m_bate_272,5500,7000
a_subj62_m_vato_145,6000,7000
a_subj63_m_saque_350,4000,7000
e_subj63_m_seco_80,4500,7000
e_subj64_m_vete_108,5000,7000
a_subj65_m_bata_372,5500,7000
e_subj65_m_seca_51,3000,7000
a_subj66_m_saco_48,3000,7000
e_subj66_m_seso_133,3000,7000
i_subj66_m_quito_162,4000,7000
a_subj67_m_saque_214,3500,7000
a_subj67_m_saca_248,4000,7000
i_subj67_m_quito_299,3000,7000
e_subj68_m_seque_280,3500,7000
e_subj68_m_seca_214,4000,7000
i_subj68_m_quite_274,5000,7000
u_subj69_m_supo_280,3500,7000
a_subj7_f_saco_238,3500,7000
e_subj7_f_seco_266,3000,7000
e_subj71_m_veto_156,3000,7000
a_subj72_m_saco_217,3500,7000
e_subj72_m_vete_208,3000,7000
e_subj72_m_beta_104,3500,7000
i_subj72_m_pico_223,6000,7000
a_subj73_m_saco_263,4000,7000
u_subj73_m_tusa_75,4000,7000
u_subj74_m_puso_142,4000,7000
a_subj76_m_baso_61,3000,7000
e_subj76_m_beta_266,4000,7000
e_subj77_m_seco_59,4500,7000
i_subj77_m_quite_260,3500,7000
a_subj78_m_bata_91,4000,7000
a_subj78_m_saco_184,4000,7000
i_subj79_m_quito_182,6000,7000
a_subj8_f_bata_119,5000,7000
e_subj8_f_beta_87,6000,7000
o_subj8_f_cosa_253,4500,7000
a_subj80_m_bate_366,3500,7000
i_subj80_m_quite_389,4000,7000
a_subj81_m_saco_216,5000,7000
